Geo_Code,CD_Name,CSD_Name,Users,Covered Area,System,Zones,Sing_Adult_Fare_Price,Monthly_Adult_Fare_Price
5933006,Thompson-Nicola,Merritt,15,Merritt,BC Transit,,1.5,42
5933042,Thompson-Nicola,Kamloops,1795,Kamloops,BC Transit,,2,53
5935010,Central Okanagan,Kelowna,2170,Kelowna,BC Transit,,2.5,70
5935016,Central Okanagan,Lake Country,80,Kelowna,BC Transit,,2.5,70
5935018,Central Okanagan,Peachland,30,Kelowna,BC Transit,,2.5,70
5935029,Central Okanagan,West Kelowna,395,Kelowna,BC Transit,,2.5,70
5935802,Central Okanagan,Tsinstikeptum  9,50,Kelowna,BC Transit,,2.5,70
5937010,North Okanagan,Coldstream,60,Vernon,BC Transit,,2,50
5937014,North Okanagan,Vernon,340,Vernon,BC Transit,,2,50
5937017,North Okanagan,North Okanagan B,35,Vernon,BC Transit,,2,50
5937021,North Okanagan,North Okanagan C,50,Vernon,BC Transit,,2,50
5937028,North Okanagan,Armstrong,20,Vernon,BC Transit,,2,50
5939019,Columbia-Shuswap,Revelstoke,40,Revelstoke,BC Transit,,2,45
5939032,Columbia-Shuswap,Salmon Arm,75,Shuswap,BC Transit,,1.5,45
5941009,Cariboo,Williams Lake,155,Williams Lake,BC Transit,,1.75,43
5941013,Cariboo,Quesnel,70,Quesnel,BC Transit,,1.75,35
5947012,Skeena-Queen Charlotte,Prince Rupert,200,Prince Rupert,BC Transit,,2,48
5949005,Kitimat-Stikine,Kitimat,40,Terrace,BC Transit,,2,44
5949011,Kitimat-Stikine,Terrace,65,Terrace,BC Transit,,2,44
5949018,Kitimat-Stikine,Kitimat-Stikine E,50,Terrace,BC Transit,,2,44
5951043,Bulkley-Nechako,Smithers,10,Smithers,BC Transit,,2.25,50
5953023,Fraser-Fort George,Prince George,925,Prince George,BC Transit,,2.5,57.5
5955014,Peace River,Dawson Creek,55,Dawson Creek,BC Transit,,1.75,50
5955034,Peace River,Fort St. John,35,Fort St. John,BC Transit,,2,40
