SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_LONG_NAME_THIS_ENROL,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2013/2014,BC Public School,6,Rocky Mountain,604007,Windermere Elementary,Standard,"4747 GOVERNMENT ST, WINDERMERE, BC",WINDERMERE,BC,V0B2L2,250 342-6640,250 342-6966,50.46499,-115.98632,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,604011,Edgewater Elementary,Standard,"5813 SINCLAIR RD, EDGEWATER, BC",EDGEWATER,BC,V0A1E0,250 347-9543,250 342-6966,50.69528,-116.13642,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,604012,J Alfred Laird Elementary,Standard,"1202 13TH AVE RR 4, INVERMERE, BC",INVERMERE,BC,V0A1K4,250 342-6232,250 342-2127,50.50451,-116.03783,ELEMENTARY,07-Apr,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,604013,Martin Morigeau Elementary,Standard,"4891 BEATTY AVE, CANAL FLATS, BC",CANAL FLATS,BC,V0B1B0,250 349-5665,250 349-5497,50.16075,-115.81561,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,604014,Eileen Madson Primary School,Standard,"2001 15TH AVE RR 4, INVERMERE, BC",INVERMERE,BC,V0A1K4,250 342-9315,250 342-6362,50.49679,-116.04131,ELEMENTARY,K-3,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,604015,David Thompson Secondary,Standard,"1535 14TH ST UNIT 1 RR 4, INVERMERE, BC",INVERMERE,BC,V0A1K4,250 342-9213,250 342-4499,50.50302,-116.042,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,6,Rocky Mountain,606000,Continuing Ed SD 06,Continuing Ed,"1850 WARREN AVE, KIMBERLEY, BC",KIMBERLEY,BC,V1A1S1,250 427-5308,250 427-2071,49.67113,-115.97979,JUNIOR SECONDARY,8,FALSE,TRUE
2013/2014,BC Public School,6,Rocky Mountain,606017,McKim Middle School,Standard,"689 ROTARY DR, KIMBERLEY, BC",KIMBERLEY,BC,V1A1E4,250 427-2283,250 427-1683,49.67947,-115.97917,ELEMENTARY,07-Apr,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,618003,Lady Grey Elementary,Standard,"620 9TH ST SOUTH, GOLDEN, BC",GOLDEN,BC,V0A1H0,250 344-6317,250 344-7382,51.29612,-116.9729,ELEMENTARY,07-Apr,TRUE,FALSE
2013/2014,BC Public School,6,Rocky Mountain,618005,Golden Secondary,Standard,"1500 9TH ST SOUTH, GOLDEN, BC",GOLDEN,BC,V0A1H0,250 344-2201,Null,51.29766,-116.94876,SECONDARY,12-Aug,FALSE,TRUE
