SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_LONG_NAME_THIS_ENROL,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2013/2014,BC Public School,22,Vernon,2222010,J W Inglis Elementary,Standard,"2287 SHUSWAP AVE, LUMBY, BC",LUMBY,BC,V0E2G0,250 547-9231,250 547-9469,50.25261,-118.96687,ELEMENTARY,K-6,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222012,Silver Star Elementary,Standard,"1401 35 AVE, VERNON, BC",VERNON,BC,V1T2R6,250 545-4409,250 545-7680,50.26745,-119.2505,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222013,Okanagan Landing Elementary,Standard,"7322 GRANT RD, VERNON, BC",VERNON,BC,V1H1G6,250 542-1181,250 542-5047,50.23749,-119.34406,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222014,B X Elementary,Standard,"5849 SILVER STAR RD, VERNON, BC",VERNON,BC,V1B3P6,250 542-4013,250 545-1726,50.2903,-119.22333,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222015,Hillview Elementary,Standard,"1822 FRANCIS ST, VERNON, BC",VERNON,BC,V1B3A5,250 542-5465,250 542-0545,50.25441,-119.23674,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222017,Vernon Secondary,Standard,"2100 15TH ST, VERNON, BC",VERNON,BC,V1T9X7,250 545-0701,250 545-6823,50.25693,-119.2511,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,22,Vernon,2222019,Mission Hill Elementary,Standard,"1510 36 ST, VERNON, BC",VERNON,BC,V1T6C8,250 545-0639,250 545-9843,50.25408,-119.28175,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222020,Alexis Park Elementary,Standard,"4205 35 ST, VERNON, BC",VERNON,BC,V1T6C4,250 545-7289,250 558-3610,50.27349,-119.27971,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222022,Kalamalka Secondary,Standard,"7900 MCCLOUNIE RD, VERNON, BC",VERNON,BC,V1B1P8,250 545-1396,250 545-7394,50.22449,-119.24814,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,22,Vernon,2222024,Kidston Elementary,Standard,"12101 LINDEN DR, COLDSTREAM, BC",COLDSTREAM,BC,V1B2H3,250 542-5351,250 558-3756,50.2225,-119.25817,ELEMENTARY,K-7,TRUE,FALSE
