Institution,Location,Institution Type,Economic Development Region,City,Address,Location Description,Latitude,Longitude
College of New Caledonia,CNC Main Campus,B.C. Public,Cariboo,Prince George,3330 - 22nd Avenue,Campus,53.905596,-122.783976
College of New Caledonia,CNC Nechako Campus,B.C. Public,Nechako,Vanderhoof,3231 Hospital Road,Regional Campus,54.028054,-124.0079
College of New Caledonia,CNC Nicholson Campus,B.C. Public,Cariboo,Prince George,2211 South Nicholson Avenue,Campus,53.903521,-122.787033
College of New Caledonia,CNC Quesnel Campus,B.C. Public,Cariboo,Quesnel,100 Campus Way,Regional Campus,52.983093,-122.469106
College of New Caledonia,CNC Valemount Learning Centre,B.C. Public,Cariboo,Valemount,99 Gorse Street,Learning Centre,52.830501,-119.27335
College of the Rockies,COTR Creston Campus,B.C. Public,Kootenay,Creston,301 - 16th Avenue,Campus,49.093021,-116.506872
College of the Rockies,COTR Elk Valley - Fernie Campus,B.C. Public,Kootenay,Fernie,342 - 3rd Avenue,Campus,49.502305,-115.064363
College of the Rockies,COTR Gold Creek Campus,B.C. Public,Kootenay,Cranbrook,1305 - 24th Avenue South,Campus,49.496033,-115.748799
College of the Rockies,COTR Golden Campus,B.C. Public,Thompson Okanagan,Golden,1305 South 9th Street,Campus,51.296652,-116.955643
College of the Rockies,COTR Invermere Campus,B.C. Public,Kootenay,Invermere,1535 - 14th Street,Campus,50.502646,-116.041074
College of the Rockies,COTR Job Seekers Program,B.C. Public,Kootenay,Cranbrook,24 - 11th Avenue South,Resource Centre,49.511166,-115.766008
College of the Rockies,COTR Kimberley Campus,B.C. Public,Kootenay,Kimberley,1850 Warren Avenue,Campus,49.671475,-115.979619
College of the Rockies,COTR Main Campus,B.C. Public,Kootenay,Cranbrook,2700 College Way,Campus,49.518411,-115.741997
Douglas College,DOUG Burnaby Campus,B.C. Public,Mainland/Southwest,Burnaby,202 - 4250 Kingsway,Resource Centre,49.231863,-123.00971
Douglas College,DOUG David Lam Campus,B.C. Public,Mainland/Southwest,Coquitlam,1250 Pinetree Way,Campus,49.286997,-122.7914
Douglas College,DOUG Main Campus,B.C. Public,Mainland/Southwest,New Westminster,700 Royal Avenue,Campus,49.203621,-122.914159
Douglas College,DOUG Surrey Training Centre,B.C. Public,Mainland/Southwest,Surrey,10060 King George Highway,Training Centre,49.185532,-122.845302
Douglas College,DOUG Burnaby Hospital,B.C. Public,Mainland/Southwest,Burnaby,3935 Kincaid St,Satellite,49.249389,-123.015764
Douglas College,DOUG Ridge Meadows Maternity Clinic,B.C. Public,Mainland/Southwest,Maple Ridge,20580 Lougheed HWY,Satellite,49.218131,-122.651725
Douglas College,DOUG Mission Midwifery Clinic,B.C. Public,Mainland/Southwest,Mission,7514 Welton St,Satellite,49.138079,-122.304822
Douglas College,DOUG Abbotsford - Community Services Building,B.C. Public,Mainland/Southwest,Abbotsford,2420 Montrose Ave,Satellite,49.046102,-122.290108
Douglas College,DOUG Chilliwack - University of the Fraser Valley,B.C. Public,Mainland/Southwest,Chilliwack,45290 Caen Ave,Satellite,49.10109,-121.972739
Douglas College,DOUG Richmond Hospital,B.C. Public,Mainland/Southwest,Richmond,7000 Westminster HWY,Satellite,49.168742,-123.146179
Douglas College,DOUG North Delta Health Unit,B.C. Public,Mainland/Southwest,North Delta,11245 - 84th Ave,Satellite,49.156165,-122.911273
Douglas College,DOUG North Surrey Health Unit,B.C. Public,Mainland/Southwest,North Surrey,220 - 10362 King George HWY,Satellite,49.196945,-122.846936
Douglas College,DOUG W.C. Blair Recreation Centre,B.C. Public,Mainland/Southwest,Langley,22200 Fraser HWY,Satellite,49.091217,-122.609732
Douglas College,DOUG John Braithwaite Community Centre,B.C. Public,Mainland/Southwest,North Vancouver,145 West 1st St,Satellite,49.312286,-123.080776
Douglas College,DOUG West Community Health Centre,B.C. Public,Mainland/Southwest,West Vancouver,2121 Marine Dr,Satellite,49.331253,-123.169894
Douglas College,DOUG Squamish Health Unit,B.C. Public,Mainland/Southwest,Squamish,1140 Hunter Pl,Satellite,49.702818,-123.146215
Douglas College,DOUG Whistler Community Health,B.C. Public,Mainland/Southwest,Whistler,202 - 4380 Lorimer Rd,Satellite,50.119961,-122.955062
Emily Carr University of Art and Design,ECUAD 1535 West 3rd Avenue,B.C. Public,Mainland/Southwest,Vancouver,1535 West 3rd Avenue,Satellite,49.268967,-123.138907
Emily Carr University of Art and Design,ECUAD 1706 Mitchell Press Building,B.C. Public,Mainland/Southwest,Vancouver,1706 West 1st Avenue,Satellite,49.270689,-123.14322
Emily Carr University of Art and Design,ECUAD Granville Island/Main Campus,B.C. Public,Mainland/Southwest,Vancouver,"1399 Johnston St, Granville Island",Campus,49.270507,-123.132963
Emily Carr University of Art and Design,ECUAD Great Northern Way Campus,B.C. Public,Mainland/Southwest,Vancouver,685 Great Northern Way,Campus,49.267258,-123.090563
Emily Carr University of Art and Design,ECUAD Emily Carr Centre for Design Innovation and Entrepreneurship,B.C. Public,Cariboo,Prince George,3333 University Way,Campus,53.892228,-122.813334
Justice Institute of British Columbia,JIBC Chilliwack Campus,B.C. Public,Mainland/Southwest,Chilliwack,5470 Dieppe Street,Campus,49.100313,-121.96867
Justice Institute of British Columbia,JIBC Main Campus,B.C. Public,Mainland/Southwest,New Westminster,715 McBride Boulevard,Campus,49.221451,-122.910511
Justice Institute of British Columbia,JIBC Maple Ridge Campus,B.C. Public,Mainland/Southwest,Maple Ridge,13500 - 256th Street,Campus,49.247134,-122.508631
Justice Institute of British Columbia,JIBC Okanagan Campus,B.C. Public,Thompson Okanagan,Kelowna,825 Walrod Street,Campus,49.900453,-119.487004
Justice Institute of British Columbia,JIBC Pitt Meadows: Traffic Safety Centre,B.C. Public,Mainland/Southwest,Pitt Meadows,18799 Airport Way,Training Centre,49.209425,-122.704904
Justice Institute of British Columbia,JIBC Vancouver Campus,B.C. Public,Mainland/Southwest,Vancouver,102 - 555 Great Northern Way,Campus,49.267777,-123.08979
Justice Institute of British Columbia,JIBC Victoria Campus,B.C. Public,Vancouver Island/Coast,Victoria,810 Fort Street,Campus,48.424345,-123.361917
Kwantlen Polytechnic University,KWAN Clovedale Road Campus,B.C. Public,Mainland/Southwest,Surrey,5500 - 180 St,Campus,49.104191,-122.72368
Kwantlen Polytechnic University,KWAN Langley Campus,B.C. Public,Mainland/Southwest,Langley,20901 Langley Bypass,Campus,49.109501,-122.645917
Kwantlen Polytechnic University,KWAN Main Campus,B.C. Public,Mainland/Southwest,Surrey,12666 72nd Avenue,Campus,49.133528,-122.871544
Kwantlen Polytechnic University,KWAN Richmond Campus,B.C. Public,Mainland/Southwest,Richmond,8771 Lansdowne Road,Campus,49.174451,-123.127491
Langara College,LANG Alderbridge Way Centre,B.C. Public,Mainland/Southwest,Richmond,116 - 4940 No 3 Road,Training Centre,49.17765,-123.135731
Langara College,LANG Broadway Campus,B.C. Public,Mainland/Southwest,Vancouver,601 West Broadway,Campus,49.26345,-123.117986
Langara College,LANG Cambie Street Centre,B.C. Public,Mainland/Southwest,Vancouver,6111 Cambie Street,Training Centre,49.229719,-123.116763
Langara College,LANG Main Campus,B.C. Public,Mainland/Southwest,Vancouver,100 West 49th Avenue,Campus,49.224941,-123.108459
Nicola Valley Institute of Technology,NVIT Main Campus,B.C. Public,Thompson Okanagan,Merritt,4155 Belshaw Street,Campus,50.124729,-120.76597
Nicola Valley Institute of Technology,NVIT Seabird Island,B.C. Public,Mainland/Southwest,Agassiz,2895 Chowat Road,Training Centre,49.253521,-121.731842
Nicola Valley Institute of Technology,NVIT Vancouver Campus,B.C. Public,Mainland/Southwest,Burnaby,200 - 4355 Mathissi Place,Campus,49.246237,-123.005633
North Island College,NIC Campbell River Campus,B.C. Public,Vancouver Island/Coast,Campbell River,1685 South Dogwood Street,Campus,49.978784,-125.246093
North Island College,NIC Comox Valley Main Campus,B.C. Public,Vancouver Island/Coast,Courtenay,2300 Ryan Road,Campus,49.708094,-124.970469
North Island College,NIC Mount Waddington Regional Campus,B.C. Public,Vancouver Island/Coast,Port Hardy,9300 Trustee Road,Campus,50.717935,-127.504229
North Island College,NIC Port Alberni Campus,B.C. Public,Vancouver Island/Coast,Port Alberni,3699 Roger Street,Campus,49.255061,-124.7878
North Island College,NIC Tebo Vocational Centre,B.C. Public,Vancouver Island/Coast,Port Alberni,4781 Tebo Avenue,Vocational Centre,49.263058,-124.792821
North Island College,NIC Ucluelet Centre,B.C. Public,Vancouver Island/Coast,Ucluelet,10 - 1636 Peninsula Road,Training Centre,48.942333,-125.547938
North Island College,NIC Vigar Vocational Centre,B.C. Public,Vancouver Island/Coast,Campbell River,2780 Vigar Road,Vocational Centre,50.044904,-125.273108
Northern Lights College,NLC Atlin Learning Centre,B.C. Public,Nechako,Atlin,3rd Street and Pearl Avenue,Access Centre,59.577569,-133.691254
Northern Lights College,NLC Chetwynd Campus,B.C. Public,Northeast,Chetwynd,5132 - 50th Street,Campus,55.694108,-121.629446
Northern Lights College,NLC Dawson Creek Campus,B.C. Public,Northeast,Dawson Creek,11401 - 8th Street,Campus,55.746982,-120.224612
Northern Lights College,NLC Fort Nelson Campus,B.C. Public,Northeast,Fort Nelson,5201 Simpson Trail,Campus,58.807363,-122.711685
Northern Lights College,NLC Fort St. John Campus,B.C. Public,Northeast,Fort St. John,9820 - 120th Avenue,Campus,56.26654,-120.842711
Northern Lights College,NLC Hudson's Hope Centre,B.C. Public,Northeast,Hudson's Hope,10801 Dudley Drive,Access Centre,56.023092,-121.920648
Northern Lights College,NLC Stikine Centre ,B.C. Public,Nechako,Dease Lake,Lot 10 Commercial Drive,Access Centre,58.434627,-129.988368
Northern Lights College,NLC Tumbler Ridge Campus,B.C. Public,Northeast,Tumbler Ridge,180 Southgate,Campus,55.124183,-121.001379
Northwest Community College,NWCC Canyon City (Gitwinksihkw),B.C. Public,North Coast,Gitwinksihlkw,3001 Ts'oohl Ts'ap Avenue,Regional Centre,55.193311,-129.221406
Northwest Community College,NWCC Hazelton Campus,B.C. Public,North Coast,Hazelton,4815 Swannell Drive,Campus,55.262062,-127.649996
Northwest Community College,NWCC Houston Campus,B.C. Public,Nechako,Houston,3221-14th Street West,Campus,54.396519,-126.651356
Northwest Community College,NWCC Kaay Llnagaay,B.C. Public,North Coast,Skidegate,No 2 Second Beach Road,Campus,53.249527,-131.997364
Northwest Community College,NWCC Kitimat Campus,B.C. Public,North Coast,Kitimat,606 Mountainview Square,Campus,54.050672,-128.649387
Northwest Community College,NWCC Main Campus,B.C. Public,North Coast,Terrace,5331 McConnell Avenue,Campus,54.528653,-128.632736
Northwest Community College,NWCC Masset Campus,B.C. Public,North Coast,Masset,1730 Hodges,Campus,54.012283,-132.142364
Northwest Community College,NWCC Prince Rupert Campus,B.C. Public,North Coast,Prince Rupert,353 - 5th Street,Campus,54.311329,-130.326165
Northwest Community College,NWCC Queen Charlotte City Campus,B.C. Public,North Coast,Queen Charlotte City,138 Bay Street,Campus,53.254688,-132.081628
Northwest Community College,NWCC Smithers Campus,B.C. Public,Nechako,Smithers,3966 - 2nd Avenue,Campus,54.781719,-127.172713
Okanagan College,OKAN Aircraft Maintenance Centre,B.C. Public,Thompson Okanagan,Vernon,6225 Okanagan Landing Road,Regional Centre,50.246903,-119.323325
Okanagan College,OKAN Kalamalka Campus,B.C. Public,Thompson Okanagan,Vernon,7000�College�Way,Campus,50.23495,-119.282341
Okanagan College,OKAN Main Campus,B.C. Public,Thompson Okanagan,Kelowna,1000�KLO�Road,Campus,49.86113,-119.47928
Okanagan College,OKAN Oliver Centre,B.C. Public,Thompson Okanagan,Oliver,339 Fairview Road,Regional Centre,49.182363,-119.550798
Okanagan College,OKAN Penticton Campus,B.C. Public,Thompson Okanagan,Penticton,583�Duncan�Avenue�West,Campus,49.48742,-119.60485
Okanagan College,OKAN Revelstoke Centre,B.C. Public,Thompson Okanagan,Revelstoke,1401 West 1st Street,Regional Centre,51.007598,-118.210509
Okanagan College,OKAN Salmon Arm Campus,B.C. Public,Thompson Okanagan,Salmon Arm,2552 Trans-Canada Highway North-East,Campus,50.703525,-119.255691
Okanagan College,OKAN Salmon Arm Trades Centre,B.C. Public,Thompson Okanagan,Salmon Arm,5450 - 48th Avenue,Regional Centre,50.664234,-119.222603
Okanagan College,OKAN Summerland Centre,B.C. Public,Thompson Okanagan,Summerland,13211 Henry Avenue,Regional Centre,49.602464,-119.682355
Royal Roads University,RRU Main Campus,B.C. Public,Vancouver Island/Coast,Victoria,2005 Sooke Road,Campus,48.435408,-123.473454
Selkirk College,SEL Grand Forks Campus,B.C. Public,Kootenay,Grand Forks,486 - 72nd Avenue,Learning Centre,49.030637,-118.439612
Selkirk College,SEL Kaslo Campus,B.C. Public,Kootenay,Kaslo,421 Front Street,Learning Centre,49.912207,-116.904917
Selkirk College,SEL Kootenay School of the Arts,B.C. Public,Kootenay,Nelson,606 Victoria Street,Campus,49.49179,-117.291777
Selkirk College,SEL Main Campus,B.C. Public,Kootenay,Castlegar,301 Frank Beinder Way,Campus,49.310995,-117.653253
Selkirk College,SEL Nakusp Campus,B.C. Public,Kootenay,Nakusp,311 Broadway Street,Learning Centre,50.239012,-117.802159
Selkirk College,SEL Silver King Campus,B.C. Public,Kootenay,Nelson,2001 Silver King Road,Campus,49.477898,-117.296112
Selkirk College,SEL Tenth Street Campus,B.C. Public,Kootenay,Nelson,820 Tenth Street,Campus,49.506889,-117.268941
Selkirk College,SEL Trail Campus,B.C. Public,Kootenay,Trail,900 Helena Street,Campus,49.094476,-117.707133
Simon Fraser University,SFU Great Northern Way,B.C. Public,Mainland/Southwest,Vancouver,577 Great Northern Way,Campus,49.267328,-123.090627
Simon Fraser University,SFU Main Campus,B.C. Public,Mainland/Southwest,Burnaby,8888 University Drive,Campus,49.275855,-122.913172
Simon Fraser University,SFU Surrey Campus,B.C. Public,Mainland/Southwest,Surrey,250 - 13450 - 102nd Avenue,Campus,49.18758,-122.849593
Simon Fraser University,SFU Vancouver Campus,B.C. Public,Mainland/Southwest,Vancouver,515 West Hastings Street,Campus,49.284172,-123.112088
Simon Fraser University,SFU Segal Graduate School of Business,B.C. Public,Mainland/Southwest,Vancouver,500 Granville St,Campus,49.284458,-123.114838
Thompson Rivers University,TRU Ashcroft/Cache Creek Regional Centre,B.C. Public,Thompson Okanagan,Ashcroft,310 Railway Avenue,Regional Centre,50.714626,-121.279232
Thompson Rivers University,TRU Barrier Regional Centre,B.C. Public,Thompson Okanagan,Barriere,4629 Barriere Town Road,Regional Centre,51.186142,-120.141431
Thompson Rivers University,TRU Clearwater Regional Centre,B.C. Public,Thompson Okanagan,Clearwater,224 Candle Creek Road,Regional Centre,51.649981,-120.009627
Thompson Rivers University,TRU Hundred Mile House,B.C. Public,Cariboo,100 Mile House,485 South Birch Avenue,Regional Centre,51.640207,-121.295875
Thompson Rivers University,TRU Lillooet Regional Centre,B.C. Public,Mainland/Southwest,Lillooet,10 - 155 Main,Regional Centre,50.703579,-121.925878
Thompson Rivers University,TRU Main Campus,B.C. Public,Thompson Okanagan,Kamloops,900 McGill Road,Campus,50.667716,-120.364323
Thompson Rivers University,TRU Williams Lake Campus,B.C. Public,Cariboo,Williams Lake,1250 Western Avenue,Campus,52.149185,-122.153163
University of British Columbia,UBC Great Northern Way Campus,B.C. Public,Mainland/Southwest,Vancouver,577 Great Northern Way,Campus,49.267777,-123.08979
University of British Columbia,UBC Main Campus,B.C. Public,Mainland/Southwest,Vancouver,2329 West Mall,Campus,49.260789,-123.252933
University of British Columbia,UBC Okanagan Campus,B.C. Public,Thompson Okanagan,Kelowna,3333 University Way,Campus,49.939497,-119.396367
University of British Columbia,UBC Robson Square,B.C. Public,Mainland/Southwest,Vancouver,800 Robson Street,Learning Centre,49.282378,-123.121376
University of Northern British Columbia,UNBC Main Campus,B.C. Public,Cariboo,Prince George,3333 University Way,Campus,53.894148,-122.808695
University of Northern British Columbia,UNBC Northwest Campus,B.C. Public,North Coast,Terrace,4837 Keith Avenue,Campus,54.513334,-128.603876
University of Northern British Columbia,UNBC Peace River-Liard Campus,B.C. Public,Northeast,Fort St. John,9820 - 120th Avenue,Campus,56.26654,-120.842711
University of Northern British Columbia,UNBC Prince Rupert Campus,B.C. Public,North Coast,Prince Rupert,353 - 5th Street,Campus,54.311329,-130.326165
University of Northern British Columbia,UNBC Wilp Wilxo'oskwhl Nisga'a Institute,B.C. Public,North Coast,Gitwinksihlkw,3001 Ts'oohl Ts'ap Avenue,Teaching Centre,55.192567,-129.220648
University of Northern British Columbia,UNBC South-Central Campus,B.C. Public,Cariboo,Quesnel,S100 - 100 Campus Way,Campus,52.983093,-122.469106
University of the Fraser Valley,UFV Aerospace Centre,B.C. Public,Mainland/Southwest,Abbotsford,30645 Firecat Avenue,Teaching Centre,49.030461,-122.378007
University of the Fraser Valley,UFV Campus at Canada Education Park,B.C. Public,Mainland/Southwest,Chilliwack,45190 Caen Avenue,Campus,49.10128,-121.97343
University of the Fraser Valley,UFV Clearbrook Centre,B.C. Public,Mainland/Southwest,Abbotsford,32355 Veterans Way,Teaching Centre,49.053705,-122.328494
University of the Fraser Valley,UFV Hope,B.C. Public,Mainland/Southwest,Hope,1250 - 7th Avenue,Teaching Centre,49.376589,-121.426789
University of the Fraser Valley,UFV Main Campus,B.C. Public,Mainland/Southwest,Abbotsford,33844 King Road,Campus,49.031425,-122.285192
University of the Fraser Valley,UFV Mission Campus,B.C. Public,Mainland/Southwest,Mission,33700 Prentis Avenue,Campus,49.144619,-122.289333
University of the Fraser Valley,UFV Trades and Technology Centre,B.C. Public,Mainland/Southwest,Chilliwack,5579 Tyson Road,Campus,49.103643,-121.976582
University of the Fraser Valley,UFV Agriculture Centre of Excellence,B.C. Public,Mainland/Southwest,Chilliwack,45288 Petawawa Rd,Satellite,49.098731,-121.971666
University of the Fraser Valley,UFV Performance Theatre,B.C. Public,Mainland/Southwest,Chilliwack,45635 Yale Rd,Satellite,49.155794,-121.961935
University of the Fraser Valley,UFV Five Corners,B.C. Public,Mainland/Southwest,Chilliwack,46225 Yale Rd,Satellite,49.171791,-121.949522
University of Victoria,UVIC Main Campus,B.C. Public,Vancouver Island/Coast,Victoria,3800 Finnerty Road,Campus,48.463517,-123.31059
Vancouver Community College,VCC Downtown Campus,B.C. Public,Mainland/Southwest,Vancouver,250 West Pender Street,Campus,49.281862,-123.110586
Vancouver Community College,VCC Main Campus,B.C. Public,Mainland/Southwest,Vancouver,1155 East Broadway,Campus,49.262456,-123.080349
Vancouver Community College,VCC Annacis Island Campus,B.C. Public,Mainland/Southwest,Delta,1608 Cliveden Ave,Campus,49.164462,-122.968955
Vancouver Island University,VIU Cowichan Campus,B.C. Public,Vancouver Island/Coast,Duncan,2011 University Way,Campus,48.78518,-123.705668
Vancouver Island University,VIU Deep Bay Marine Field Station,B.C. Public,Vancouver Island/Coast,Bowser,370 Crome Point Road,Satellite,49.463271,-124.726024
Vancouver Island University,VIU Foundation Office,B.C. Public,Vancouver Island/Coast,Nanaimo,59 Wharf Street,Satellite,49.165644,-123.936789
Vancouver Island University,VIU Horticultural Centre,B.C. Public,Vancouver Island/Coast,Nanaimo,2324 Wellington Road East,Satellite,49.180371,-124.006999
Vancouver Island University,VIU Main Campus,B.C. Public,Vancouver Island/Coast,Nanaimo,900 Fifth Street,Campus,49.156506,-123.965435
Vancouver Island University,VIU Parksville Qualicum Centre,B.C. Public,Vancouver Island/Coast,Parksville,100 Jensen Avenue East,Campus,49.318227,-124.311976
Vancouver Island University,VIU Powell River Campus,B.C. Public,Vancouver Island/Coast,Powell River,7085 Nootka Street,Campus,49.822764,-124.517144
Athabasca University,ATHABASCA Vancouver Art Therapy Institute Campus,Non-B.C. Degree Granting,Mainland/Southwest,Vancouver,1575 Johnston Street,Campus,49.272043,-123.135066
Queen�s University ,QUEENS Vancouver Campus,Non-B.C. Degree Granting,Mainland/Southwest,Vancouver,1185 - 555 Burrard Street,Campus,49.286287,-123.118281
University of Oregon,University of Oregon Scott Creek Middle School Campus,Non-B.C. Degree Granting,Mainland/Southwest,Coquitlam,1240 Lansdowne Drive,Campus,49.285279,-122.813142
Acsenda School of Management,Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,1090 W. Pender St,Campus,49.287161,-123.120213
Adler School of Professional Psychology,Adler Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,1200 - 1090 West Georgia Street,Campus,49.2853638,-123.1232802
Alexander College,Alexander Burnaby Campus,B.C. Private Degree Granting,Mainland/Southwest,Burnaby,100 - 4603 Kingsway,Campus,49.2296416,-123.0040274
Alexander College,Alexander Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,100 - 602 West Hastings,Campus,49.2848,-123.113297
Art Institute of Vancouver,AI Burnaby Campus,B.C. Private Degree Granting,Mainland/Southwest,Burnaby,2665 Renfrew Street,Campus,49.2608782,-123.0465002
Canadian Baptist Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1402398,-122.5989125
Canadian Pentecostal Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1406734,-122.6042244
Carey Theological College,Carey campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5920 Iona Drive ,Campus,49.2715875,-123.251253
City University of Seattle,City University of Seattle Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,310 - 789 W Pender Street,Campus,49.2852793,-123.1174685
City University of Seattle,City University of Seattle Victoria Campus,B.C. Private Degree Granting,Vancouver Island/Coast,Victoria,305 - 877 Goldstream Avenue,Campus,48.4501753,-123.5067764
Columbia Bible College,Columbia Bible College Campus,B.C. Private Degree Granting,Mainland/Southwest,Abbotsford,2940 Clearbrook Road ,Campus,49.055184,-122.3397931
Columbia College,Columbia Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,438 Terminal Avenue,Campus,49.271621,-123.0963962
Coquitlam College,Coquitlam College Campus,B.C. Private Degree Granting,Mainland/Southwest,Coquitlam,516 Brookmere Avenue,Campus,49.2505665,-122.893641
Corpus Christi College,CC Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,5935 Iona Drive,Campus,49.2730138,-123.2492661
Fairleigh Dickinson University,Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,842 Cambie Street,Campus,49.2776995,-123.117744
Fraser International College,Fraser Burnaby Campus,B.C. Private Degree Granting,Mainland/Southwest,Burnaby,8999 Nelson Way,Campus,49.274276,-122.912453
Mennonite Brethren Biblical Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1386877,-122.6003409
New York Institute of Technology,NYIT Vancouver Campus,B.C. Private Degree Granting,Mainland/Southwest,Vancouver,1700 - 701 West Georgia Street,Campus,49.2828662,-123.1202722
Northwest Baptist Seminary,Trinity Western University Campus,B.C. Private Degree Granting,Mainland/Southwest,Langley,7600 Glover Road,Campus,49.1402986,-122.6004641
Pacific Coast University for Workplace Health Sciences,PCU Campus,B.C. Private Degree Granting,Vancouver Island/Coast,Port Alberni,4755 Cherry Creek Road,Campus,49.2620687,-124.7901124
