Institution,Location,Institution Type,Economic Development Region,City,Address,Location Description,Latitude,Longitude
British Columbia Institute of Technology,BCIT Aerospace Technology Campus,B.C. Public,Mainland/Southwest,Richmond,3800 Cessna Drive,Campus,49.184761,-123.144915
British Columbia Institute of Technology,BCIT Centre for Applied Research and Innovation,B.C. Public,Mainland/Southwest,Burnaby,4355 Mathissi Place,Satellite,49.246223,-123.00544
British Columbia Institute of Technology,BCIT Downtown Campus,B.C. Public,Mainland/Southwest,Vancouver,555 Seymour Street,Campus,49.283564,-123.115245
British Columbia Institute of Technology,BCIT DW Poppy Secondary School,B.C. Public,Mainland/Southwest,Langley,23752 - 52 Avenue,Satellite,49.096309,-122.566159
British Columbia Institute of Technology,BCIT Garibaldi Secondary School,B.C. Public,Mainland/Southwest,Maple Ridge,24789 Dewdney Trunk Road,Satellite,49.223582,-122.535067
British Columbia Institute of Technology,BCIT Great Northern Way Campus,B.C. Public,Mainland/Southwest,Vancouver,555 Great Northern Way,Campus,49.267777,-123.08979
British Columbia Institute of Technology,BCIT Graham Road Campus,B.C. Public,Thompson Okanagan,Kelowna,775 Graham Road,Satellite,49.881722,-119.40038
British Columbia Institute of Technology,BCIT Langley Secondary School,B.C. Public,Mainland/Southwest,Langley,21405 - 56th Avenue,Satellite,49.104612,-122.629888
British Columbia Institute of Technology,BCIT Main Campus,B.C. Public,Mainland/Southwest,Burnaby,3700 Willingdon Avenue,Campus,49.251686,-123.001385
British Columbia Institute of Technology,BCIT Marine Campus,B.C. Public,Mainland/Southwest,North Vancouver,265 West Esplanade,Campus,49.313275,-123.084222
British Columbia Institute of Technology,BCIT North Delta Secondary School,B.C. Public,Mainland/Southwest,Delta,11447 - 82nd Avenue,Satellite,49.152422,-122.901907
British Columbia Institute of Technology,BCIT Princess Margaret Senior Secondary School,B.C. Public,Mainland/Southwest,Surrey,12870 - 72 Avenue,Satellite,49.133528,-122.866223
British Columbia Institute of Technology,BCIT Rutland Senior Secondary School,B.C. Public,Thompson Okanagan,Kelowna,705 Rutland Road North,Satellite,49.897261,-119.382656
British Columbia Institute of Technology,BCIT Samuel Robertson Technical Secondary School,B.C. Public,Mainland/Southwest,Maple Ridge,10445-245 Street,Satellite,49.1927602,-122.5453993
British Columbia Institute of Technology,BCIT Westview Secondary School,B.C. Public,Mainland/Southwest,Maple Ridge,20905 Wicklund Avenue,Satellite,49.22361,-122.641904
Camosun College,CAM Interurban Campus,B.C. Public,Vancouver Island/Coast,Victoria,4461 Interurban Road ,Campus,48.491312,-123.419552
Camosun College,CAM Main Campus,B.C. Public,Vancouver Island/Coast,Victoria,3100 Foul Bay Road,Campus,48.446853,-123.322928
Camosun College,CAM Metchosin Property,B.C. Public,Vancouver Island/Coast,Metchosin,4970 Barrow Road,Property,48.377262,-123.60059
Camosun College,CAM Saanich Adult Education Centre,B.C. Public,Vancouver Island/Coast,Brentwood Bay,7449 West Saanich Road,Learning Centre,48.579177,-123.450708
Camosun College,CAM Songhees Employment Learning Centre,B.C. Public,Vancouver Island/Coast,Victoria,1500B Admirals Road,Learning Centre,48.447564,-123.426075
Camosun College,CAM Victoria Native Friendship Centre,B.C. Public,Vancouver Island/Coast,Victoria,231 Regina Avenue,Learning Centre,48.455634,-123.388267
Capilano University,CAPU Main Campus,B.C. Public,Mainland/Southwest,North Vancouver,2055 Purcell Way,Campus,49.316017,-123.020632
Capilano University,CAPU Mt. Currie,B.C. Public,Mainland/Southwest,Mount Currie,Lot 367 Ir 10 Road,Learning Centre,50.322231,-122.723465
Capilano University,CAPU Squamish Campus,B.C. Public,Mainland/Southwest,Squamish,1150 Carson Place,Campus,49.707761,-123.150344
Capilano University,CAPU Sunshine Coast Campus,B.C. Public,Mainland/Southwest,Sechelt,5627 Inlet Avenue,Campus,49.476114,-123.756437
College of New Caledonia,CNC Fort St. James,B.C. Public,Nechako,Fort St. James,179 Douglas,Learning Centre,54.441098,-124.250854
College of New Caledonia,CNC Fraser Lake Learning Centre,B.C. Public,Nechako,Fraser Lake,298 McMillan Avenue,Learning Centre,54.056277,-124.846616
College of New Caledonia,CNC John A. Brink Trades & Technology Centre,B.C. Public,Cariboo,Prince George,1727 West Central,Learning Centre,53.903521,-122.787033
College of New Caledonia,CNC Lakes District Campus,B.C. Public,Nechako,Burns Lake,545 Highway 16 West,Regional Campus,54.188943,-125.494046
College of New Caledonia,CNC Mackenzie Campus,B.C. Public,Cariboo,Mackenzie,540 Mackenzie Boulevard,Regional Campus,55.343637,-123.107128
