Geo_Code,CSD_Name,CD_Name,CSD_type,Couple-only Median family income ($),"Household total income Under $5,000","Household total income $10,000 to $14,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $15,000 to $19,999","Household total income $150,000 and over","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $5,000 to $9,999","Household total income $50,000 to $59,999","Household total $60,000 to $79,999","Household total income $80,000 to $99,999",% of owner households spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Couple-only economic families,Couple-with-children economic families,Lone-parent economic families,Economic families Median family income ($),Private households Median household total income ($),Individuals Median income ($),Not in economic family Median total income ($),Median value of dwellings ($),Spending 30% or more of household total income on shelter costs, Spending less than 30% of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($), % of tenant households in subsidized housing,% of tenant households spending 30% or more of household total income on shelter costs
5903052,Central Kootenay H,Central Kootenay,Regional district electoral area,55213,95,90,95,35,250,0,145,210,210,150,175,325,210,28.9,51,805,340,150,57868,41420,22632,16873,300121,625,1345,440,507,524,5.2,48.3
5903058,Central Kootenay J,Central Kootenay,Regional district electoral area,86580,10,0,140,95,40,85,45,145,135,0,125,165,210,9.7,50.9,430,340,75,84970,73289,36649,38275,297373,155,1050,125,557,1041,0,41.7
5903807,Creston 1,Central Kootenay,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5905005,Fruitvale,Kootenay Boundary,Village,68999,45,70,130,70,35,75,80,35,50,20,25,140,55,9.6,45.3,285,240,45,93108,63666,32908,24780,240278,150,685,95,558,528,15.6,50
5905009,Montrose,Kootenay Boundary,Village,78702,0,0,50,35,0,65,30,20,25,0,30,70,60,12.3,42.7,170,125,0,96781,78435,35754,28692,269836,50,385,40,452,0,0,0
5905014,Trail,Kootenay Boundary,City,66511,35,250,315,150,235,205,405,530,285,130,280,455,390,16.1,49.3,1050,695,345,69119,48085,29199,29244,200551,930,2740,870,576,608,16.6,53.6
5905018,Warfield,Kootenay Boundary,Village,80217,0,0,60,65,0,65,80,35,65,20,65,125,140,8.8,51.6,285,165,100,87897,67958,33411,28412,250319,85,685,50,652,654,0,18.5
5905023,Rossland,Kootenay Boundary,City,78541,45,20,165,160,65,185,135,145,115,0,80,170,155,17,49.4,385,530,95,96046,72610,34775,26399,299936,300,1150,245,754,701,0,40
5905026,Kootenay Boundary A,Kootenay Boundary,Regional district electoral area,82448,0,0,55,85,65,65,30,65,25,0,65,70,150,10.1,51.3,295,265,60,82624,77644,32816,28865,299657,85,600,60,668,662,0,27.8
5905032,Grand Forks,Kootenay Boundary,City,59551,65,35,95,45,265,80,275,205,135,35,140,315,150,18.9,45.5,700,310,135,61280,42380,24490,20317,240503,485,1350,415,570,720,12.2,54.3
5905037,Midway,Kootenay Boundary,Village,44621,25,30,0,0,0,0,45,40,35,0,50,0,30,34,40.8,125,50,0,51288,37122,18990,15328,219892,100,205,75,456,683,0,0
5907005,Osoyoos,Okanagan-Similkameen,Town,57847,45,45,120,145,130,80,260,350,285,40,220,340,195,17.6,39,1020,340,120,62025,49560,25294,28423,375982,540,1690,480,484,776,0,53.7
5907024,Princeton,Okanagan-Similkameen,Town,64769,20,15,75,60,300,110,195,155,80,0,105,170,90,10.9,39.1,570,155,60,65018,39406,24464,19272,250439,350,1035,330,418,552,0,62.7
5907035,Summerland,Okanagan-Similkameen,District municipality,59182,45,155,380,240,330,395,550,630,405,85,355,565,605,18.6,45.7,1810,1130,355,72158,56380,28317,28316,399691,1065,3545,945,541,907,12.9,44.5
5907041,Penticton,Okanagan-Similkameen,City,54075,465,475,900,580,1485,640,2100,1940,1790,335,1330,1900,1280,19.9,52.9,4475,2755,1525,61003,43998,24628,22956,349192,4920,10250,4090,738,826,18.5,54.4
5907047,Okanagan-Similkameen D,Okanagan-Similkameen,Regional district electoral area,52225,55,0,175,175,85,260,445,325,130,0,135,435,195,19.9,52.1,1225,555,55,70120,61773,25419,25449,399428,490,1820,430,694,742,16.1,40
5907051,Okanagan-Similkameen F,Okanagan-Similkameen,Regional district electoral area,73839,0,0,75,75,20,155,70,85,60,0,35,100,80,16.7,55.6,265,310,95,81716,80408,33035,28210,518734,120,585,100,982,1009,0,30
