Geo_Code,CSD_Name,CD_Name,CSD_type,Couple-only Median family income ($),"Household total income Under $5,000","Household total income $10,000 to $14,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $15,000 to $19,999","Household total income $150,000 and over","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $5,000 to $9,999","Household total income $50,000 to $59,999","Household total $60,000 to $79,999","Household total income $80,000 to $99,999",% of owner households spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Couple-only economic families,Couple-with-children economic families,Lone-parent economic families,Economic families Median family income ($),Private households Median household total income ($),Individuals Median income ($),Not in economic family Median total income ($),Median value of dwellings ($),Spending 30% or more of household total income on shelter costs, Spending less than 30% of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($), % of tenant households in subsidized housing,% of tenant households spending 30% or more of household total income on shelter costs
5917010,Sidney,Capital,Town,72080,65,85,440,185,315,255,660,620,550,120,435,985,615,24.5,49.2,1840,840,425,72392,55687,30947,32988,450051,1600,3725,1410,750,1081,4.8,52.6
5917015,Central Saanich,Capital,District municipality,81353,55,110,840,495,280,925,465,475,635,50,500,890,860,18.7,51,2295,1895,500,94809,77324,38409,33092,558248,1485,4960,1295,956,921,16.8,40.6
5917021,Saanich,Capital,District municipality,80132,1135,1180,4870,3290,2025,5385,3330,3765,4100,670,3640,6585,5415,21.7,51.9,13135,12495,4375,85402,68393,34013,29772,598306,12605,32575,10385,935,948,15.8,44.8
5917027,Capital F,Capital,Regional district electoral area,66160,235,140,340,310,295,175,515,470,405,100,505,675,495,28.6,42.3,1650,890,410,62384,53523,27284,28311,525275,1515,2995,1135,602,774,10.5,56.2
5917029,Capital G,Capital,Regional district electoral area,59086,60,80,155,75,235,125,335,235,260,30,350,325,260,16.4,34.7,1120,295,110,59654,52025,26200,27096,449363,510,1970,410,408,836,10.2,51.7
5917030,Oak Bay,Capital,District municipality,101330,155,135,910,630,340,1650,645,545,485,175,545,855,700,17.2,40,2410,2020,530,110112,80388,39977,31478,776697,1965,5790,1585,771,906,12.5,50.9
5917034,Victoria,Capital,City,72912,1660,2725,2730,1540,3135,1965,4825,5365,4540,1165,3530,5885,3895,25.2,56.6,10010,4695,3195,69929,45827,30177,28002,456218,16945,25925,13920,1025,865,13.1,49.4
5917040,Esquimalt,Capital,District municipality,69681,185,510,765,285,425,315,870,735,915,90,720,1405,815,24.1,62.1,1990,1340,745,70499,52956,31720,28482,449490,2780,5215,2410,1132,874,13,45.3
5917041,Colwood,Capital,City,80203,90,50,875,590,215,615,220,335,455,155,470,935,1090,20.6,67.1,1905,2230,500,90498,82703,37689,34722,500696,1355,4730,1140,1343,1002,22.3,28.9
5917042,Metchosin,Capital,District municipality,85038,25,15,215,185,125,250,75,85,125,0,110,320,250,23.9,52.3,680,600,60,93762,80834,37274,27418,673069,400,1315,320,980,949,10.2,20.7
5917044,Langford,Capital,City,77615,325,300,1365,910,505,1020,665,815,1105,150,1100,1765,1655,27.9,74.4,3250,3655,1280,81889,69820,35078,32395,466608,3760,7895,2955,1516,1097,10.3,45.9
5917047,View Royal,Capital,Town,79212,65,90,515,285,195,480,205,290,310,75,350,585,500,21.3,62.7,1235,1080,355,90002,74519,37038,31000,527487,1010,2935,810,1215,1003,13.6,36.5
5917049,Highlands,Capital,District municipality,89885,0,0,150,60,0,175,0,35,45,0,45,75,145,17.4,64.2,310,295,35,108531,96805,42325,50523,641398,135,640,105,1508,1057,0,0
5917052,Sooke,Capital,District municipality,67823,130,125,525,350,210,310,360,380,445,55,390,745,485,27,69.8,1380,1445,475,76911,64867,31015,25370,409991,1405,3065,1210,1393,950,16.3,50.9
5917054,Capital H (Part 1),Capital,Regional district electoral area,76648,55,45,255,110,75,120,175,125,120,50,195,300,210,24.1,62.5,725,480,85,77508,67985,30071,28154,501256,495,1310,360,1094,1273,0,46.3
5917801,Cole Bay 3,Capital,Indian reserve,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,0,30,25,37185,32395,11109,3039,0,0,0,0,0,0,0,0
5917802,Union Bay 4,Capital,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5917803,East Saanich 2,Capital,Indian reserve,61305,20,45,45,10,55,10,105,110,125,10,100,160,70,0,0,330,90,80,57469,45107,24818,32916,0,0,0,0,0,0,0,0
5917804,South Saanich 1,Capital,Indian reserve,41492,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,0,0,20,75,55,47757,41564,14839,15257,0,0,0,0,0,0,0,0
5917812,New Songhees 1A,Capital,Indian reserve,56633,0,35,35,0,45,0,125,110,100,10,130,160,70,0,0,220,115,120,56602,47155,26161,30093,0,0,0,0,0,0,0,0
5917815,Gordon River 2,Capital,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5917819,T'Sou-ke,Capital,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5919008,North Cowichan,Cowichan Valley,District municipality,67029,230,450,1220,550,620,740,1375,1360,1120,260,1035,1740,1345,18.9,53.7,4135,2960,1215,71413,55979,28309,22837,375920,3290,8635,2790,791,730,16,57.7
5919012,Duncan,Cowichan Valley,City,44103,95,180,110,35,235,55,460,285,280,60,220,215,155,24.8,50,505,330,250,49846,35703,22189,22841,274441,980,1400,735,460,794,14.6,62.3
5919013,Cowichan Valley D,Cowichan Valley,Regional district electoral area,69669,25,70,190,50,20,70,45,150,140,10,65,240,185,18.8,59.6,495,360,75,78528,68917,34329,34352,400745,250,995,185,965,572,0,29
5919015,Cowichan Valley G,Cowichan Valley,Regional district electoral area,68167,0,45,85,30,25,55,85,185,115,10,60,180,100,22.5,43.9,460,210,40,65895,51925,26170,24394,400926,255,725,220,492,783,0,56.5
5919016,Lake Cowichan,Cowichan Valley,Town,51197,25,95,75,50,130,25,155,155,100,20,140,200,120,20,52.5,425,270,165,54225,44170,20749,18732,299052,365,930,320,682,672,25.4,57.6
5919017,Cowichan Valley H,Cowichan Valley,Regional district electoral area,59042,0,90,45,55,15,50,130,125,85,0,95,165,130,23.5,51.8,405,220,85,64773,55972,26978,22829,420019,210,765,130,789,657,0,10.3
5919021,Ladysmith,Cowichan Valley,Town,66988,40,30,325,280,170,180,370,405,415,85,315,465,340,18.3,55.2,1285,855,295,71775,54413,30009,25519,340923,815,2595,700,835,853,22.1,45
5919035,Cowichan Valley I,Cowichan Valley,Regional district electoral area,50190,50,0,25,10,20,20,100,90,45,0,40,75,30,29.8,56.8,230,100,30,41548,35197,22436,20837,399886,175,395,55,700,783,0,0
5919043,Cowichan Valley A,Cowichan Valley,Regional district electoral area,79032,35,0,180,205,70,190,180,210,85,20,105,270,210,16.2,50.2,655,540,80,85653,74378,32585,27754,479635,310,1430,260,580,751,9.4,37.5
5919046,Cowichan Valley B,Cowichan Valley,Regional district electoral area,82094,80,40,300,295,75,405,225,190,205,70,200,475,510,22.6,70.5,1045,1060,300,84237,78731,34294,25550,424956,725,2210,600,1375,1096,0,45.6
5919049,Cowichan Valley C,Cowichan Valley,Regional district electoral area,78365,55,45,225,190,45,175,220,145,165,0,145,370,325,17.6,49.6,1020,465,105,80810,71108,33355,29890,450411,380,1635,300,644,991,0,35.5
5919051,Cowichan Valley E,Cowichan Valley,Regional district electoral area,66261,25,70,195,75,70,100,130,145,120,10,85,195,305,22,60.6,465,550,70,85177,74475,30456,27273,380737,375,1100,325,1029,803,22.2,47.2
5919801,Halalt 2,Cowichan Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5919802,Squaw-hay-one 11,Cowichan Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5919803,Tsussie 6,Cowichan Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5919804,Chemainus 13,Cowichan Valley,Indian reserve,19956,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,20,70,40,38397,38346,10904,8873,0,0,0,0,0,0,0,0
5919809,Kuper Island 7,Cowichan Valley,Indian reserve,4045,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,20,50,30,23349,19645,7122,1701,0,0,0,0,0,0,0,0
5919814,Malachan 11,Cowichan Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5919815,Malahat 11,Cowichan Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5919816,Oyster Bay 12,Cowichan Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5919822,Cowichan,Cowichan Valley,Indian reserve,32119,20,30,20,10,45,0,80,70,65,15,45,65,30,0,0,50,225,120,40724,39182,12620,14439,0,0,0,0,0,0,0,0
5921007,Nanaimo,Nanaimo,City,63818,1065,1660,2775,1700,2245,2070,3715,3735,3875,870,3330,5205,3960,24.6,58.9,11070,8110,3795,66532,52744,27620,23892,348460,11725,24325,9965,948,849,13.8,52.7
5921008,Lantzville,Nanaimo,District municipality,71289,15,25,145,95,65,205,90,120,175,0,115,280,135,21.2,53.4,555,470,105,77216,69426,34461,31724,448884,335,1120,320,826,1003,0,44.4
5921010,Nanaimo A,Nanaimo,Regional district electoral area,61527,65,80,295,175,120,135,355,265,210,70,265,480,405,22,57.8,1040,720,250,68718,61420,26984,25687,379927,730,2125,610,893,1002,0,50.7
5921014,Nanaimo B,Nanaimo,Regional district electoral area,64772,40,110,170,80,125,130,225,260,205,90,185,235,215,19.3,39.9,905,260,90,67299,48133,27169,23567,359015,440,1625,370,399,800,10,40
5921016,Nanaimo C,Nanaimo,Regional district electoral area,74867,0,25,125,70,80,120,55,90,50,0,115,140,145,18.9,53.8,380,355,80,84779,70906,32027,19477,450250,230,785,210,664,851,0,39.4
5921018,Parksville,Nanaimo,City,59777,110,110,375,170,370,160,815,680,700,45,735,885,530,18.9,47.1,2205,940,435,59942,50261,27942,26889,341293,1470,4215,1295,684,804,11.9,50.2
5921023,Qualicum Beach,Nanaimo,Town,66353,70,75,300,150,240,280,385,580,440,100,335,770,400,12.9,34.6,2120,540,225,66818,55445,28740,30732,400736,715,3395,520,467,1012,8.1,55.3
5921030,Nanaimo E,Nanaimo,Regional district electoral area,70075,95,55,225,175,120,355,180,225,250,20,180,350,355,17.6,43.4,1385,450,130,79526,68463,32076,28787,501531,525,2015,435,633,999,10.6,51.1
5921032,Nanaimo F,Nanaimo,Regional district electoral area,60340,95,145,265,125,190,100,340,390,480,50,245,465,355,23.6,62,985,805,295,61400,48519,26123,22664,397358,1025,2165,890,782,764,0,57.7
5921034,Nanaimo G,Nanaimo,Regional district electoral area,62540,75,70,250,180,95,265,265,400,355,50,245,470,435,19.1,43.7,1630,685,105,70730,60726,28871,26442,400068,705,2435,580,599,1160,0,60.8
5921036,Nanaimo H,Nanaimo,Regional district electoral area,61783,55,75,140,55,80,75,230,230,185,35,80,250,155,15.3,46,780,275,55,61533,47404,24729,23918,400588,385,1250,295,467,946,7.6,56.1
5921804,Nanaimo Town 1,Nanaimo,Indian reserve,38975,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,40,30,36847,35408,15084,15304,0,0,0,0,0,0,0,0
5921805,Nanoose,Nanaimo,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5921806,Qualicum,Nanaimo,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5921807,Nanaimo River,Nanaimo,Indian reserve,23993,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,25,20,27170,24001,9550,15552,0,0,0,0,0,0,0,0
5923008,Port Alberni,Alberni-Clayoquot,City,62170,170,505,510,360,630,140,990,1000,885,250,670,1170,660,16.8,48.3,2390,1575,970,58035,44819,24888,23441,235388,2160,5780,1850,539,660,14.2,48.9
5923033,Alberni-Clayoquot B,Alberni-Clayoquot,Regional district electoral area,51334,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,30,Null,Null,19.4,32.3,40,70,0,68315,50405,25188,22832,320270,40,130,35,376,0,0,0
5923035,Alberni-Clayoquot D,Alberni-Clayoquot,Regional district electoral area,77402,0,0,80,55,25,105,85,45,105,0,65,70,70,19.3,39.3,310,155,30,92943,53737,29448,39991,500684,190,580,140,458,728,0,66.7
5923037,Alberni-Clayoquot E,Alberni-Clayoquot,Regional district electoral area,56315,15,45,100,80,20,45,125,175,115,30,140,140,150,14.2,42.2,405,365,55,67577,55151,26461,26409,299093,215,955,180,403,665,0,48.3
5923039,Alberni-Clayoquot F,Alberni-Clayoquot,Regional district electoral area,52166,45,0,40,30,25,40,110,100,120,0,120,140,65,24.6,48.9,385,170,95,53198,50292,26544,29270,276081,225,575,210,473,722,0,52.6
5923801,Ahahswinis 1,Alberni-Clayoquot,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5923803,Anacla 12,Alberni-Clayoquot,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5923807,Ittatsoo 1,Alberni-Clayoquot,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5923808,Marktosis 15,Alberni-Clayoquot,Indian reserve,25801,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,0,0,15,70,30,55924,54828,16589,19575,0,0,0,0,0,0,0,0
5923813,Opitsat 1,Alberni-Clayoquot,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5923816,Tsahaheh 1,Alberni-Clayoquot,Indian reserve,33916,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,15,70,50,37944,33888,17622,13021,0,0,0,0,0,0,0,0
5923823,Esowista 3,Alberni-Clayoquot,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5923824,Refuge Cove 6,Alberni-Clayoquot,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5924029,Zeballos,Strathcona,Village,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,174873,Null,Null,Null,865,0,0,Null
5924034,Campbell River,Strathcona,City,66749,355,530,1210,680,950,825,1195,1505,1315,220,1035,2020,1590,18.3,56.1,4355,3305,1420,69484,56362,28329,25933,280082,3485,9915,2925,841,790,14.6,48.4
5924039,Sayward,Strathcona,Village,56356,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,10,30,60,25,0,46209,60554,30703,60588,200004,25,145,20,333,1001,0,0
5924042,Strathcona D (Oyster Bay - Buttle Lake),Strathcona,Regional district electoral area,74815,70,20,185,85,75,140,80,185,140,25,160,320,200,20.3,52,725,445,85,71473,64265,31887,33151,320198,355,1335,265,686,879,0,26.2
5924052,Strathcona B,Strathcona,Regional district electoral area,49787,0,35,15,0,25,30,100,55,40,0,90,90,40,8,44,170,115,40,41460,50173,26303,34996,300534,65,485,55,430,633,0,17.6
5924054,Strathcona C,Strathcona,Regional district electoral area,63724,15,45,30,85,55,50,115,120,150,45,115,220,115,16.4,40.7,500,145,75,59807,54417,27771,32519,324044,245,900,215,344,651,0,41.2
5924804,Campbell River 11,Strathcona,Indian reserve,69115,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,25,50,30,60247,48783,22519,16319,0,0,0,0,0,0,0,0
5924806,Houpsitas 6,Strathcona,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5924812,Quinsam 12,Strathcona,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5924817,Cape Mudge 10,Strathcona,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5924820,Tork 7,Strathcona,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5924835,Tsa Xana 18,Strathcona,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5924836,Ehatis 11,Strathcona,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5924840,Homalco 9,Strathcona,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5926005,Comox,Comox Valley,Town,71004,50,135,520,310,345,385,540,615,575,50,575,1000,855,13.2,51.2,2085,1420,500,76068,61029,32193,32173,349086,1210,4760,1095,707,864,17,45.1
5926010,Courtenay,Comox Valley,City,63631,195,555,825,305,825,410,1235,1410,1040,170,1030,1650,1250,17.2,54.1,3315,2165,1200,65179,50168,26383,24510,300382,3055,7815,2595,736,810,12.2,53.1
5926014,Cumberland,Comox Valley,Village,59974,30,60,105,35,45,25,130,185,140,100,165,250,140,31.4,70.9,380,365,185,58096,51809,27130,24041,324447,505,895,365,1189,982,29.4,56.9
5926021,Comox Valley A,Comox Valley,Regional district electoral area,58184,35,130,260,135,220,185,335,445,365,45,275,475,305,16.1,43,1370,600,215,61632,50650,26107,26183,401146,595,2570,515,523,650,7.6,34.1
5926022,Comox Valley B (Lazo North),Comox Valley,Regional district electoral area,63854,40,80,290,195,165,215,290,250,310,50,230,460,350,17,50.3,1175,730,230,70068,62178,28347,25638,411285,600,2200,435,625,914,0,52.1
5926024,Comox Valley C (Puntledge - Black Creek),Comox Valley,Regional district electoral area,66534,50,50,295,235,155,200,300,315,280,45,310,665,490,16.7,53.9,1325,1000,240,75354,64166,29966,28946,394721,660,2605,575,687,873,7.3,41.1
5926801,Comox 1,Comox Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5927008,Powell River,Powell River,City,57857,100,295,565,260,325,235,510,820,710,145,620,740,580,15.3,48.8,1930,1265,565,63937,50850,27362,26158,260024,1370,4500,1155,573,662,10.8,52.1
5927012,Powell River B,Powell River,Regional district electoral area,59751,0,45,55,35,60,15,45,85,50,0,100,110,65,9.2,40.4,295,145,25,61088,55909,24325,36948,300827,105,555,80,394,925,0,36.4
5927018,Powell River D,Powell River,Regional district electoral area,43443,15,0,25,0,30,10,125,50,100,0,30,55,35,8.2,34.7,250,60,0,45077,34803,19530,20495,174746,60,460,45,275,524,0,44.4
5927020,Powell River E,Powell River,Regional district electoral area,58994,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,25,25,25,50,0,32668,28160,16585,13775,210776,70,175,35,161,151,0,41.7
5927802,Sliammon 1,Powell River,Indian reserve,41880,25,25,10,0,35,10,35,25,25,40,20,20,10,0,0,70,55,55,34824,23370,15110,9146,0,0,0,0,0,0,0,0
5929005,Gibsons,Sunshine Coast,Town,69105,80,45,175,90,145,150,210,175,210,35,235,270,185,24.8,53.2,605,365,210,65666,54088,28826,35675,400465,645,1365,530,869,916,10.8,48.3
5929011,Sechelt,Sunshine Coast,District municipality,65052,120,105,335,185,195,350,485,480,430,40,470,515,595,20.5,47,1545,855,305,69814,56830,29560,28794,399711,1095,3120,925,604,1032,16.1,51
5929018,Sunshine Coast A,Sunshine Coast,Regional district electoral area,54253,40,0,100,45,25,25,190,180,220,0,150,220,180,19.8,37.4,675,140,110,56164,50132,29716,32477,421583,335,1070,255,354,1149,0,47.5
5929022,Sunshine Coast B,Sunshine Coast,Regional district electoral area,65107,0,0,110,45,30,105,60,85,125,20,125,195,100,24.5,47.2,385,325,55,74494,61632,32783,24351,499876,270,800,245,682,681,0,33.3
5929024,Sunshine Coast D,Sunshine Coast,Regional district electoral area,53652,55,75,85,50,45,100,105,130,190,60,90,185,195,19.1,54.1,410,360,120,69082,53539,24606,17147,500316,390,975,295,918,850,0,60.3
5929026,Sunshine Coast E,Sunshine Coast,Regional district electoral area,72556,25,20,135,110,100,95,105,120,130,0,115,255,220,19.3,53.4,520,465,80,77105,65116,27838,22600,424581,275,1150,230,773,1027,0,22.7
5929028,Sunshine Coast F,Sunshine Coast,Regional district electoral area,68517,40,0,80,50,30,75,130,60,105,0,40,175,75,16.4,52.3,350,185,55,68262,63311,31934,30732,448795,185,685,145,717,928,0,34.8
5929803,Sechelt (Part),Sunshine Coast,Indian government district,53323,10,20,15,0,40,0,50,45,50,15,20,45,25,0,0,90,60,45,46952,34952,20046,20600,0,0,0,0,0,0,0,0
5931006,Squamish,Squamish-Lillooet,District municipality,78922,185,270,830,445,290,760,355,610,640,95,340,845,855,29.7,74.3,1725,2285,525,87387,72751,33799,25925,495859,2350,4115,2040,1584,974,11.8,54.2
5931020,Whistler,Squamish-Lillooet,District municipality,80134,175,65,420,200,170,445,225,450,320,45,285,555,555,40.4,67.7,1150,870,115,84152,65757,32432,30511,550642,1730,2155,1360,1492,1298,15.4,51.8
5931026,Lillooet,Squamish-Lillooet,District municipality,57748,20,65,75,15,120,65,145,125,60,45,115,120,95,18.8,43.6,290,205,135,61969,41560,20634,18621,200420,255,805,220,471,609,36.2,42.6
5931032,Squamish-Lillooet A,Squamish-Lillooet,Regional district electoral area,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,63.2,Null,Null,Null,Null,Null,Null,Null,125302,Null,Null,Null,453,0,0,Null
5931034,Squamish-Lillooet B,Squamish-Lillooet,Regional district electoral area,107667,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,16.7,25,100,15,35,68836,55685,20221,0,376086,45,85,10,275,870,0,0
5931801,Cheakamus 11,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931806,Seaichem 16,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931807,Stawamus 24,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931808,Waiwakum 14,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931812,Nesuch 3,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931813,Bridge River 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931814,Cayoosh Creek 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931815,Chilhil 6,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931816,Fountain  1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931821,Lillooet 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931823,McCartney's Flat 4,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931829,Pavilion 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931831,Slosh 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931842,Fountain  1B,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931843,Mount Currie,Squamish-Lillooet,Indian reserve,28705,55,30,15,10,35,0,50,55,25,25,25,35,15,0,0,55,145,90,31965,28699,12814,4627,0,0,0,0,0,0,0,0
