Geo_Code,Prov_Name,CD_Name,CSD_Name,2010 Internal-Interprovincial migrants,2010 Internal-Intraprovincial migrants,2010 External migrants,2010 Internal migrants,2010 Movers-Migrants,2010 Movers-Non-migrants,2010 Movers,2010 Non-movers
5901003,British Columbia,East Kootenay,Elkford,95,85,35,175,210,85,300,2200
5901006,British Columbia,East Kootenay,Sparwood,125,190,0,310,315,275,585,3035
5901012,British Columbia,East Kootenay,Fernie,240,145,35,390,420,455,875,3445
5901022,British Columbia,East Kootenay,Cranbrook,170,630,55,800,860,1655,2510,16110
5901028,British Columbia,East Kootenay,Kimberley,165,125,10,290,295,335,635,5780
5901035,British Columbia,East Kootenay,East Kootenay C,65,100,0,160,175,120,300,5290
5901039,British Columbia,East Kootenay,Invermere,90,130,0,220,230,175,410,2220
5901046,British Columbia,East Kootenay,East Kootenay F,50,30,0,75,95,80,175,2425
5901801,British Columbia,East Kootenay,Tobacco Plains 2,0,0,0,0,0,0,0,55
5901803,British Columbia,East Kootenay,Kootenay 1,0,0,0,0,0,10,10,85
5901804,British Columbia,East Kootenay,Columbia Lake 3,0,10,0,10,10,10,20,115
5901806,British Columbia,East Kootenay,Shuswap,10,10,0,20,25,25,55,240
5903004,British Columbia,Central Kootenay,Creston,150,110,35,260,295,545,835,4170
5903013,British Columbia,Central Kootenay,Central Kootenay B,105,55,0,160,160,55,210,4200
5903015,British Columbia,Central Kootenay,Nelson,215,510,25,725,750,1005,1755,8155
5903023,British Columbia,Central Kootenay,Kaslo,0,50,0,55,50,45,100,800
5903032,British Columbia,Central Kootenay,New Denver,0,0,0,0,10,0,10,445
5903041,British Columbia,Central Kootenay,Central Kootenay E,75,130,25,200,225,145,370,3380
5903043,British Columbia,Central Kootenay,Central Kootenay F,25,125,0,150,155,210,360,3580
5903045,British Columbia,Central Kootenay,Castlegar,150,320,0,475,480,470,950,6525
5903050,British Columbia,Central Kootenay,Nakusp,0,20,0,25,30,80,105,1465
5903052,British Columbia,Central Kootenay,Central Kootenay H,110,190,0,295,305,130,435,3750
5903058,British Columbia,Central Kootenay,Central Kootenay J,45,220,20,265,285,130,420,2510
5903807,British Columbia,Central Kootenay,Creston 1,0,0,0,0,10,20,25,85
5905005,British Columbia,Kootenay Boundary,Fruitvale,0,135,20,140,160,45,200,1620
5905009,British Columbia,Kootenay Boundary,Montrose,0,60,0,65,65,0,65,935
5905014,British Columbia,Kootenay Boundary,Trail,150,265,0,415,415,585,1000,6335
5905018,British Columbia,Kootenay Boundary,Warfield,20,120,0,140,145,40,190,1485
5905023,British Columbia,Kootenay Boundary,Rossland,70,190,20,260,280,190,475,3030
5905026,British Columbia,Kootenay Boundary,Kootenay Boundary A,0,190,0,195,200,35,235,1700
5905032,British Columbia,Kootenay Boundary,Grand Forks,0,215,0,225,230,205,430,3355
5905037,British Columbia,Kootenay Boundary,Midway,25,25,0,55,55,0,70,555
5907005,British Columbia,Okanagan-Similkameen,Osoyoos,170,235,0,410,420,170,590,3950
5907024,British Columbia,Okanagan-Similkameen,Princeton,35,195,0,230,235,45,285,2360
5907035,British Columbia,Okanagan-Similkameen,Summerland,100,645,30,745,775,280,1055,9765
5907041,British Columbia,Okanagan-Similkameen,Penticton,475,1370,100,1845,1940,3565,5505,26005
5907047,British Columbia,Okanagan-Similkameen,Okanagan-Similkameen D,80,195,0,280,295,225,515,5105
5907051,British Columbia,Okanagan-Similkameen,Okanagan-Similkameen F,40,65,0,110,115,165,275,2025
5907801,British Columbia,Okanagan-Similkameen,Lower Similkameen 2,0,0,0,0,0,0,10,45
5907802,British Columbia,Okanagan-Similkameen,Osoyoos 1,0,30,0,35,35,25,60,520
5907803,British Columbia,Okanagan-Similkameen,Penticton 1,20,85,10,110,115,80,200,1460
5907805,British Columbia,Okanagan-Similkameen,Chopaka 7 & 8,0,20,0,20,20,10,25,45
5907807,British Columbia,Okanagan-Similkameen,Chuchuwayha 2,0,20,0,20,15,0,20,55
5907809,British Columbia,Okanagan-Similkameen,Ashnola 10,0,0,0,0,0,0,0,65
5909009,British Columbia,Fraser Valley,Hope,55,300,0,360,370,320,685,5090
