Geo_Code,CSD_Name,CD_Name,CSD_type,Lat,Lon,Median value of dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),% of owner households spending 30% or more of household total income on shelter costs,% of tenant households spending 30% or more of household total income on shelter costs, % of tenant households in subsidized housing,"Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Median after-tax household income,"Household total income Under $5,000","Household total income $5,000 to $9,999","Household total income $10,000 to $14,999","Household total income $15,000 to $19,999","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $50,000 to $59,999","Household total income $60,000 to $79,999","Household total income $80,000 to $99,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $150,000 and over",Private households Median household total income,Couple-only economic families,Couple-only Median family income ($),Couple-only Average family size,Couple-with-children economic families,Couple-with-children Median family income ($),Couple-with-children Average family size,Lone-parent economic families,Lone-parent Median family income ($),Lone-parent Average family size,Individuals not in economic families,Not in economic family Median total income ($)
5901003,Elkford,East Kootenay,District municipality,50.06202327,-114.8769039,270091,793,872,9.1,15.2,0,830,440,30,0,0,30,40,255,325,370,830,165,0,88369,0,0,15,0,80,20,35,20,65,135,240,145,200,110546,290,116551,2,365,126459,3.9,60,100500,2.8,300,50921
5901006,Sparwood,East Kootenay,District municipality,49.7589181,-114.7975361,274984,499,743,6.1,39.3,9.5,1560,170,150,0,10,10.7,150,235,680,520,1170,420,0,71791,35,20,95,75,75,65,150,80,140,160,225,135,335,85778,520,100783,2,520,115022,3.7,70,65435,2.9,495,33578
5901012,Fernie,East Kootenay,City,49.5049447,-115.0574664,424185,1179,735,21.8,34.6,17.9,1855,80,315,130,0,10.3,230,405,730,625,1455,530,0,69924,90,45,30,60,170,175,130,105,180,315,285,145,255,80358,640,86355,2,530,116110,3.7,70,43179,2.3,885,26746
5901022,Cranbrook,East Kootenay,City,49.53797084,-115.7686883,279633,940,744,19.1,48.4,21.2,7360,100,945,90,145,10.2,455,2420,2580,2685,6300,1840,0,53162,255,125,285,505,755,685,760,825,1335,925,785,455,445,57700,2560,67177,2,2135,96291,3.9,750,37917,2.5,3005,27232
5901028,Kimberley,East Kootenay,City,49.66786367,-115.9827769,276035,792,751,16.4,45.7,17.5,2245,60,280,60,85,15.7,285,745,1185,725,2260,685,0,51592,45,30,90,130,300,390,325,265,455,415,335,95,70,57940,1110,63977,2,630,90600,3.8,215,33961,2.8,1090,31328
5901035,East Kootenay C,East Kootenay,Regional district electoral area,49.50511767,-115.5924456,400686,589,697,11.4,18.4,0,2585,55,45,0,0,15.1,85,400,945,840,2015,240,0,68038,65,20,20,80,70,170,215,180,290,390,330,145,290,80663,965,79291,2,720,114297,3.9,115,35793,3,535,35565
5901039,Invermere,East Kootenay,District municipality,50.49987674,-116.0357588,399764,1081,1099,15.6,39.2,24.3,1065,20,170,0,0,10.4,125,275,385,400,810,375,0,60761,0,0,0,60,130,125,60,115,145,140,155,95,120,70917,370,87222,2,340,102730,3.8,85,61379,2.2,405,32351
5901046,East Kootenay F,East Kootenay,Regional district electoral area,50.32227242,-115.7995435,551706,752,803,24.1,8.6,0,1045,0,95,0,25,11,90,165,425,390,890,175,0,66849,0,0,0,0,60,60,100,130,200,150,175,75,95,74207,455,76200,2,360,102831,3.7,0,0,Null,290,41572
5901801,Tobacco Plains 2,East Kootenay,Indian reserve,49.04705492,-115.101005,0,0,0,Null,Null,0,25,0,0,0,0,10.4,0,0,0,10,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901803,Kootenay 1,East Kootenay,Indian reserve,49.63643242,-115.7338328,Null,Null,Null,Null,Null,Null,35,0,0,0,0,17.7,0,10,10,15,25,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901804,Columbia Lake 3,East Kootenay,Indian reserve,50.41327989,-115.9101037,0,0,0,Null,Null,0,60,0,0,0,0,15.7,0,10,25,15,40,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2.5,Null,Null,Null,Null,Null,Null,Null,Null
