Operator,Line,Latitude,Longitude
TransLink,Canada Line,49.282495,-123.118591
TransLink,Canada Line,49.285974,-123.111848
TransLink,Canada Line,49.274503,-123.121794
TransLink,Canada Line,49.266409,-123.115871
TransLink,Canada Line,49.262985,-123.114394
TransLink,Canada Line,49.249031,-123.115757
TransLink,Canada Line,49.233213,-123.116439
TransLink,Canada Line,49.226455,-123.115943
TransLink,Canada Line,49.209698,-123.116873
TransLink,Canada Line,49.195568,-123.125920
TransLink,Canada Line,49.183742,-123.136516
TransLink,Canada Line,49.174709,-123.136516
TransLink,Canada Line,49.167943,-123.136268
TransLink,Canada Line,49.196508,-123.146363
TransLink,Canada Line,49.193187,-123.157764
TransLink,Canada Line,49.194321,-123.178214
TransLink,Expo Line,49.285974,-123.111848
TransLink,Expo Line,49.285681,-123.120383
TransLink,Expo Line,49.283258,-123.116154
TransLink,Expo Line,49.279222,-123.109217
TransLink,Expo Line,49.273151,-123.100417
TransLink,Expo Line,49.262664,-123.069208
TransLink,Expo Line,49.248424,-123.055864
TransLink,Expo Line,49.244347,-123.046236
TransLink,Expo Line,49.238524,-123.032092
TransLink,Expo Line,49.229795,-123.012644
TransLink,Expo Line,49.225796,-123.003761
TransLink,Expo Line,49.220133,-122.988564
TransLink,Expo Line,49.212261,-122.959280
TransLink,Expo Line,49.200008,-122.949131
TransLink,Expo Line,49.201380,-122.912754
TransLink,Expo Line,49.204908,-122.906145
TransLink,Expo Line,49.224620,-122.889357
TransLink,Expo Line,49.233231,-122.882768
TransLink,Expo Line,49.248498,-122.896963
TransLink,Expo Line,49.253405,-122.918147
TransLink,Expo Line,49.204407,-122.874114
TransLink,Expo Line,49.199202,-122.850686
TransLink,Expo Line,49.189541,-122.847810
TransLink,Expo Line,49.182786,-122.844575
TransLink,Millenium Line,49.265669,-123.079170
TransLink,Millenium Line,49.262644,-123.069290
TransLink,Millenium Line,49.258885,-123.045127
TransLink,Millenium Line,49.260811,-123.033046
TransLink,Millenium Line,49.266464,-123.001672
TransLink,Millenium Line,49.264814,-122.982146
TransLink,Millenium Line,49.259130,-122.964071
TransLink,Millenium Line,49.254515,-122.939253
TransLink,Millenium Line,49.253451,-122.918103
TransLink,Millenium Line,49.248467,-122.897066
