CDUID,Regional District,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
5901,East Kootenay,57616,57679,57188,57026,57527,57642,57896,58191,58467,58716,58952,59174,59380,59580,59757,59922,60076,60211,60332,60437,60522,60592,60649,60694,60718,60724,60722,60705,60672,60627,60573,60511
5903,Central Kootenay,58831,59297,58985,58903,59618,60102,60357,60648,60912,61156,61386,61597,61799,61994,62174,62340,62496,62643,62777,62900,63005,63101,63189,63274,63330,63371,63405,63427,63442,63445,63444,63429
5905,Kootenay-Boundary,31316,31494,30978,30251,30039,29349,29325,29324,29310,29288,29261,29226,29188,29145,29093,29037,28975,28911,28839,28762,28679,28591,28496,28401,28292,28177,28061,27936,27808,27677,27542,27405
5907,Okanagan-Similkameen,81424,81639,80656,80545,81603,81898,82453,83062,83639,84188,84721,85226,85720,86210,86678,87128,87562,87973,88366,88736,89085,89405,89709,89991,90234,90447,90646,90821,90967,91091,91197,91288
5909,Fraser Valley,283004,283905,285862,287921,290083,296429,300486,304812,309089,313311,317530,321692,325824,329962,334051,338091,342088,346027,349906,353733,357482,361141,364765,368344,371791,375160,378509,381787,385005,388161,391268,394323
5915,Greater Vancouver,2351205,2373037,2415907,2449017,2485128,2513856,2548445,2585407,2621960,2658202,2694490,2730440,2766376,2802553,2838575,2874421,2910023,2945193,2979904,3014049,3047542,3080136,3112302,3143924,3174231,3203614,3232521,3260611,3287879,3314398,3340186,3365286
5917,Capital,366515,367632,369728,371729,373924,377810,381978,386467,390862,395145,399394,403536,407620,411693,415699,419620,423455,427178,430777,434255,437593,440782,443862,446823,449557,452125,454614,456962,459180,461286,463276,465174
5919,Cowichan Valley,81083,81485,81191,81367,82234,82786,83645,84572,85476,86352,87217,88064,88897,89738,90564,91368,92163,92944,93713,94469,95199,95894,96579,97248,97878,98475,99054,99600,100115,100606,101074,101518
5921,Nanaimo,147456,148770,148929,150053,151988,154546,156580,158724,160823,162877,164895,166867,168796,170713,172589,174425,176220,177970,179677,181335,182944,184495,186007,187492,188901,190261,191597,192901,194171,195403,196609,197802
5923,Alberni-Clayoquot,31303,31581,30979,30570,30627,30106,30221,30359,30491,30613,30735,30846,30952,31060,31162,31262,31359,31451,31539,31623,31703,31776,31849,31917,31976,32027,32077,32124,32165,32205,32239,32274
5924,Strathcona,43628,43928,43729,43932,44630,45468,45792,46146,46480,46798,47103,47390,47665,47932,48186,48431,48661,48874,49079,49269,49448,49614,49770,49917,50045,50158,50269,50367,50455,50533,50609,50678
5926,Comox Valley,63875,64417,64048,63943,64247,64634,65387,66195,66983,67755,68523,69280,70035,70791,71540,72277,73002,73715,74415,75099,75768,76415,77049,77674,78268,78842,79411,79954,80481,80996,81497,81987
5927,Powell River,19987,20106,19779,19752,19797,19481,19659,19855,20041,20217,20388,20555,20720,20886,21048,21205,21361,21515,21666,21816,21961,22102,22241,22376,22503,22622,22738,22844,22948,23044,23137,23227
5929,Sunshine Coast,28590,28918,28891,28896,29463,29177,29528,29903,30269,30620,30968,31308,31646,31985,32313,32638,32956,33273,33583,33891,34195,34490,34779,35065,35339,35604,35861,36107,36343,36571,36791,37007
5931,Squamish-Lillooet,38788,39513,40236,40397,40779,40378,41023,41702,42371,43026,43672,44297,44912,45524,46119,46704,47272,47831,48378,48915,49448,49968,50485,50994,51489,51977,52461,52937,53408,53869,54324,54770
