CDUID,Regional District,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
5933,Thompson-Nicola,130287,130832,130841,131592,133344,133256,134358,135571,136747,137893,139027,140121,141189,142241,143263,144244,145185,146079,146933,147740,148504,149214,149891,150540,151117,151652,152167,152649,153098,153508,153905,154292
5935,Central Okanagan,182228,183521,184931,185809,189435,195466,198691,202097,205486,208865,212259,215633,219009,222399,225777,229133,232465,235757,239008,242204,245341,248405,251435,254428,257314,260131,262922,265658,268337,270965,273548,276090
5937,North Okanagan,82174,82391,81956,82038,83011,84587,85340,86167,86963,87738,88509,89261,90000,90733,91447,92142,92822,93486,94131,94754,95363,95941,96502,97047,97556,98040,98503,98935,99350,99740,100115,100475
5939,Columbia-Shuswap,51083,51234,50649,50552,51392,51379,51743,52154,52536,52904,53264,53607,53939,54269,54589,54898,55197,55486,55767,56035,56296,56538,56779,57018,57234,57437,57640,57829,58014,58186,58351,58518
5941,Cariboo,63087,63314,62792,62560,62884,62252,62411,62623,62812,62981,63139,63279,63406,63527,63635,63727,63801,63856,63899,63929,63944,63934,63913,63880,63824,63749,63669,63574,63469,63352,63231,63105
5943,Mount Waddington,11766,11716,11574,11557,11503,11368,11442,11527,11606,11685,11762,11838,11914,11990,12064,12136,12207,12278,12347,12414,12481,12545,12606,12669,12727,12783,12838,12890,12939,12988,13034,13078
5945,Central Coast,3255,3277,3270,3237,3236,3239,3272,3307,3340,3371,3399,3426,3451,3474,3494,3515,3533,3550,3565,3578,3591,3603,3616,3628,3636,3645,3654,3661,3669,3673,3678,3683
5947,Skeena-Queen Charlotte,19115,19135,18761,18400,18062,17531,17632,17749,17865,17973,18076,18176,18273,18370,18468,18561,18650,18735,18817,18894,18969,19038,19105,19171,19229,19285,19338,19387,19430,19470,19506,19540
5949,Kitimat-Stikine,38207,38066,38205,38438,38927,38517,38852,39220,39576,39873,40162,40440,40714,40982,41244,41500,41642,41776,41894,42004,42106,42196,42279,42357,42412,42461,42506,42540,42568,42586,42598,42598
5951,Bulkley-Nechako,39228,39905,39741,39815,40213,40059,40385,40755,41123,41483,41781,42040,42292,42498,42698,42889,43069,43242,43410,43571,43725,43860,43993,44116,44223,44323,44419,44508,44583,44646,44705,44762
5953,Fraser-Fort George,93704,93887,93457,93721,93300,91299,91730,92178,92595,92982,93310,93495,93597,93680,93732,93749,93733,93680,93593,93475,93321,93128,92909,92668,92380,92067,91736,91380,91001,90602,90188,89756
5955,Peace River,60603,61768,62650,63947,64793,63897,64799,65743,66668,67570,68406,69223,70024,70761,71478,72175,72854,73514,74161,74789,75403,75999,76594,77189,77766,78332,78900,79465,80022,80578,81126,81671
5957,Stikine,648,638,658,670,672,664,662,661,660,658,656,654,652,649,646,642,640,637,634,630,626,622,618,614,610,605,601,597,593,588,582,577
5959,Northern Rockies,5918,6054,6007,5969,5956,5963,6032,6104,6172,6238,6304,6365,6426,6485,6543,6600,6655,6709,6762,6813,6863,6911,6959,7006,7051,7093,7133,7174,7213,7251,7287,7322
