Geo_Code,CD_Name,CSD_Name,CSD_type,"Car, truck or van - as a driver","Car, truck or van - as a passenger","Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration
5901003,East Kootenay,Elkford,District municipality,710,120,830,440,30,0,0,30
5901006,East Kootenay,Sparwood,District municipality,1400,160,1560,170,150,0,10,10.7
5901012,East Kootenay,Fernie,City,1670,185,1855,80,315,130,0,10.3
5901022,East Kootenay,Cranbrook,City,6695,665,7360,100,945,90,145,10.2
5901028,East Kootenay,Kimberley,City,2015,230,2245,60,280,60,85,15.7
5901035,East Kootenay,East Kootenay C,Regional district electoral area,2410,175,2585,55,45,0,0,15.1
5901039,East Kootenay,Invermere,District municipality,995,70,1065,20,170,0,0,10.4
5901046,East Kootenay,East Kootenay F,Regional district electoral area,950,95,1045,0,95,0,25,11
5901801,East Kootenay,Tobacco Plains 2,Indian reserve,25,0,25,0,0,0,0,10.4
5901803,East Kootenay,Kootenay 1,Indian reserve,20,15,35,0,0,0,0,17.7
5901804,East Kootenay,Columbia Lake 3,Indian reserve,50,10,60,0,0,0,0,15.7
5901806,East Kootenay,Shuswap,Indian reserve,110,10,120,0,15,0,0,10.8
5903004,Central Kootenay,Creston,Town,1505,75,1580,0,345,85,0,6
5903013,Central Kootenay,Central Kootenay B,Regional district electoral area,1085,65,1150,0,75,15,0,10.8
5903015,Central Kootenay,Nelson,City,2520,220,2740,180,1315,170,105,10.8
5903023,Central Kootenay,Kaslo,Village,175,0,175,0,65,0,0,10
5903032,Central Kootenay,New Denver,Village,105,0,105,0,30,0,0,10.6
5903041,Central Kootenay,Central Kootenay E,Regional district electoral area,1320,155,1475,0,160,0,20,15.8
5903043,Central Kootenay,Central Kootenay F,Regional district electoral area,1655,75,1730,40,0,0,35,17.4
5903045,Central Kootenay,Castlegar,City,2675,215,2890,55,315,35,35,11
5903050,Central Kootenay,Nakusp,Village,345,35,380,0,105,0,0,10.2
5903052,Central Kootenay,Central Kootenay H,Regional district electoral area,1400,70,1470,50,40,0,30,25.6
5903058,Central Kootenay,Central Kootenay J,Regional district electoral area,1275,90,1365,0,0,0,0,15.7
5903807,Central Kootenay,Creston 1,Indian reserve,25,0,25,0,0,0,0,5.5
5905005,Kootenay Boundary,Fruitvale,Village,630,75,705,0,35,0,0,15.9
5905009,Kootenay Boundary,Montrose,Village,435,0,435,0,0,0,0,12.3
5905014,Kootenay Boundary,Trail,City,2345,200,2545,40,310,0,10,10.5
5905018,Kootenay Boundary,Warfield,Village,635,25,660,65,80,0,0,10.7
5905023,Kootenay Boundary,Rossland,City,1315,60,1375,15,155,0,70,12.1
5905026,Kootenay Boundary,Kootenay Boundary A,Regional district electoral area,645,35,680,0,40,0,10,19
