Geo_Code,CSD_Name,CD_Name,CSD_type,Lat,Lon,Median value of dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),% of owner households spending 30% or more of household total income on shelter costs,% of tenant households spending 30% or more of household total income on shelter costs, % of tenant households in subsidized housing,"Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Median after-tax household income,"Household total income Under $5,000","Household total income $5,000 to $9,999","Household total income $10,000 to $14,999","Household total income $15,000 to $19,999","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $50,000 to $59,999","Household total income $60,000 to $79,999","Household total income $80,000 to $99,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $150,000 and over",Private households Median household total income
5901003,Elkford,East Kootenay,District municipality,50.06202327,-114.8769039,270091,793,872,9.1,15.2,0,830,440,30,0,0,30,40,255,325,370,830,165,0,88369,0,0,15,0,80,20,35,20,65,135,240,145,200,110546
5901006,Sparwood,East Kootenay,District municipality,49.7589181,-114.7975361,274984,499,743,6.1,39.3,9.5,1560,170,150,0,10,10.7,150,235,680,520,1170,420,0,71791,35,20,95,75,75,65,150,80,140,160,225,135,335,85778
5901012,Fernie,East Kootenay,City,49.5049447,-115.0574664,424185,1179,735,21.8,34.6,17.9,1855,80,315,130,0,10.3,230,405,730,625,1455,530,0,69924,90,45,30,60,170,175,130,105,180,315,285,145,255,80358
5901022,Cranbrook,East Kootenay,City,49.53797084,-115.7686883,279633,940,744,19.1,48.4,21.2,7360,100,945,90,145,10.2,455,2420,2580,2685,6300,1840,0,53162,255,125,285,505,755,685,760,825,1335,925,785,455,445,57700
5901028,Kimberley,East Kootenay,City,49.66786367,-115.9827769,276035,792,751,16.4,45.7,17.5,2245,60,280,60,85,15.7,285,745,1185,725,2260,685,0,51592,45,30,90,130,300,390,325,265,455,415,335,95,70,57940
5901035,East Kootenay C,East Kootenay,Regional district electoral area,49.50511767,-115.5924456,400686,589,697,11.4,18.4,0,2585,55,45,0,0,15.1,85,400,945,840,2015,240,0,68038,65,20,20,80,70,170,215,180,290,390,330,145,290,80663
5901039,Invermere,East Kootenay,District municipality,50.49987674,-116.0357588,399764,1081,1099,15.6,39.2,24.3,1065,20,170,0,0,10.4,125,275,385,400,810,375,0,60761,0,0,0,60,130,125,60,115,145,140,155,95,120,70917
5901046,East Kootenay F,East Kootenay,Regional district electoral area,50.32227242,-115.7995435,551706,752,803,24.1,8.6,0,1045,0,95,0,25,11,90,165,425,390,890,175,0,66849,0,0,0,0,60,60,100,130,200,150,175,75,95,74207
5901801,Tobacco Plains 2,East Kootenay,Indian reserve,49.04705492,-115.101005,0,0,0,Null,Null,0,25,0,0,0,0,10.4,0,0,0,10,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901803,Kootenay 1,East Kootenay,Indian reserve,49.63643242,-115.7338328,Null,Null,Null,Null,Null,Null,35,0,0,0,0,17.7,0,10,10,15,25,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901804,Columbia Lake 3,East Kootenay,Indian reserve,50.41327989,-115.9101037,0,0,0,Null,Null,0,60,0,0,0,0,15.7,0,10,25,15,40,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901806,Shuswap,East Kootenay,Indian reserve,50.53726316,-116.0202544,0,0,0,0,0,0,120,0,15,0,0,10.8,0,45,45,30,85,30,0,45115,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,47902
5903004,Creston,Central Kootenay,Town,49.10573447,-116.5143528,269104,493,756,11.7,59.5,30.2,1580,0,345,85,0,6,340,910,720,495,1880,580,0,41833,60,20,70,365,330,275,240,170,415,175,205,100,35,46077
5903013,Central Kootenay B,Central Kootenay,Regional district electoral area,49.22966143,-116.3065355,348241,417,604,12.8,42.5,0,1150,0,75,15,0,10.8,130,540,650,455,1575,205,0,46723,45,0,50,110,220,305,75,110,220,145,230,65,125,50513
5903015,Nelson,Central Kootenay,City,49.48024304,-117.3663185,349879,717,801,20.7,47.1,15.8,2740,180,1315,170,105,10.8,850,1230,1550,1000,2920,1710,0,43874,105,85,240,280,605,565,485,310,655,455,320,175,335,48077
5903023,Kaslo,Central Kootenay,Village,49.90950038,-116.9101037,199907,348,484,24.2,51.9,61.5,175,0,65,0,0,10,110,130,145,90,335,130,0,35072,0,0,0,0,90,95,40,20,35,15,75,0,0,38451
5903032,New Denver,Central Kootenay,Village,49.98925166,-117.3768812,299055,1000,574,19,0,0,105,0,30,0,0,10.6,0,120,70,30,210,25,0,42852,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,43124
5903041,Central Kootenay E,Central Kootenay,Regional district electoral area,49.53310199,-117.1226474,349874,467,825,21.7,46.7,10.9,1475,0,160,0,20,15.8,105,695,565,330,1465,230,0,43463,100,0,135,65,180,230,195,150,180,215,110,55,65,46112
5903043,Central Kootenay F,Central Kootenay,Regional district electoral area,49.58330357,-117.3303334,401238,663,866,24.3,26.5,0,1730,40,0,0,35,17.4,135,365,695,485,1510,165,0,59881,0,35,20,60,135,135,265,100,210,215,175,150,165,66893
