Geo_Code,CD_Name,CSD_Name,CSD_type,First generation,Second generation,Third generation or more,Only regular maintenance or minor repairs needed,Major repairs needed,Constructed 1960 or before,Constructed 1961 to 1980,Constructed 1981 to 1990,Constructed 1991 to 2000,Constructed 2001 to 2005,Constructed 2006 to 2011,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Part of a condominium development,Not part of a condominium development,One person or fewer per room,More than one person per room
5903023,Central Kootenay,Kaslo,Village,140,180,615,400,65,160,225,35,35,0,0,110,130,145,90,335,130,0,0,425,465,0
5903032,Central Kootenay,New Denver,Village,55,90,315,205,25,95,80,0,35,0,0,0,120,70,30,210,25,0,0,235,230,0
5903041,Central Kootenay,Central Kootenay E,Regional district electoral area,560,955,2275,1560,130,370,485,155,350,145,185,105,695,565,330,1465,230,0,25,1665,1690,0
5903043,Central Kootenay,Central Kootenay F,Regional district electoral area,525,810,2620,1455,225,295,385,355,400,175,75,135,365,695,485,1510,165,0,45,1640,1670,0
5903045,Central Kootenay,Castlegar,City,790,1485,5275,3075,275,830,1390,505,410,60,150,235,700,1305,1105,2630,720,0,190,3155,3325,0
5903050,Central Kootenay,Nakusp,Village,145,245,1185,615,110,225,340,70,50,0,40,95,215,190,225,515,210,0,15,710,720,0
5903052,Central Kootenay,Central Kootenay H,Regional district electoral area,580,700,2910,1705,310,280,655,185,320,275,295,290,620,775,325,1725,290,0,0,2000,1995,15
5903058,Central Kootenay,Central Kootenay J,Regional district electoral area,130,465,2335,1105,100,285,470,175,145,40,85,75,405,295,425,1085,125,0,0,1190,1195,0
5903807,Central Kootenay,Creston 1,Indian reserve,10,15,95,20,20,0,0,15,20,0,0,0,0,20,10,15,0,25,0,40,35,0
5905005,Kootenay Boundary,Fruitvale,Village,105,370,1375,715,125,195,520,65,20,0,25,95,160,245,345,680,155,0,0,830,835,0
5905009,Kootenay Boundary,Montrose,Village,75,175,760,420,10,125,225,35,40,0,0,40,30,185,180,405,0,0,0,435,405,0
5905014,Kootenay Boundary,Trail,City,805,1905,4700,3180,490,2345,775,205,170,45,130,560,1065,1320,735,2770,905,0,185,3490,3660,0
5905018,Kootenay Boundary,Warfield,Village,145,360,1185,675,95,540,140,50,0,0,10,50,170,350,200,630,140,0,20,745,760,0
5905023,Kootenay Boundary,Rossland,City,255,915,2350,1315,140,750,470,85,70,30,50,120,210,725,400,1205,255,0,115,1345,1455,0
5905026,Kootenay Boundary,Kootenay Boundary A,Regional district electoral area,70,335,1545,670,50,160,400,70,50,20,20,0,105,315,290,625,95,0,0,720,715,0
5905032,Kootenay Boundary,Grand Forks,City,410,710,2710,1690,140,530,730,205,240,65,65,95,600,745,400,1430,405,0,175,1660,1825,0
5905037,Kootenay Boundary,Midway,Village,75,200,350,285,20,95,100,40,35,25,0,40,95,90,85,250,55,0,0,305,310,0
5907005,Okanagan-Similkameen,Osoyoos,Town,975,1365,2230,2165,95,295,625,300,640,285,115,105,765,870,515,1845,420,0,505,1755,2230,30
5907024,Okanagan-Similkameen,Princeton,Town,200,640,1825,1290,95,470,375,195,185,130,30,355,305,430,295,1010,375,0,65,1325,1380,0
5907035,Okanagan-Similkameen,Summerland,District municipality,1370,2640,6870,4510,245,840,1505,730,1095,325,265,470,1555,1435,1295,3975,780,0,710,4045,4730,25
5907041,Okanagan-Similkameen,Penticton,City,4395,7380,19945,14165,1065,2770,5290,2590,2865,760,965,2635,5325,3940,3330,9730,5500,0,3755,11480,15145,90
5907047,Okanagan-Similkameen,Okanagan-Similkameen D,Regional district electoral area,850,1200,3600,2210,230,305,670,395,680,215,160,50,745,950,690,2270,165,0,85,2350,2415,0
5907051,Okanagan-Similkameen,Okanagan-Similkameen F,Regional district electoral area,290,545,1475,680,85,150,280,140,105,55,0,30,80,230,435,715,50,0,0,760,760,0
5907801,Okanagan-Similkameen,Lower Similkameen 2,Indian reserve,0,10,45,10,10,0,0,0,10,0,0,0,0,0,10,10,0,0,0,15,20,0
5907802,Okanagan-Similkameen,Osoyoos 1,Indian reserve,30,100,455,220,55,0,100,70,70,30,0,10,130,95,35,245,20,10,35,240,270,0
5907803,Okanagan-Similkameen,Penticton 1,Indian reserve,200,445,1020,635,135,15,185,170,275,85,30,60,480,140,90,685,55,25,25,740,750,15
5907805,Okanagan-Similkameen,Chopaka 7 & 8,Indian reserve,0,10,60,15,15,0,10,10,0,0,0,0,0,15,10,20,0,0,0,25,30,0
5907807,Okanagan-Similkameen,Chuchuwayha 2,Indian reserve,0,0,75,20,0,0,0,0,10,0,0,0,10,10,10,10,0,15,0,30,25,0
5907809,Okanagan-Similkameen,Ashnola 10,Indian reserve,0,15,60,15,10,0,0,0,15,0,0,0,0,0,10,15,0,10,0,25,25,0
5909009,Fraser Valley,Hope,District municipality,970,1350,3480,2405,230,605,1010,380,370,140,130,240,725,910,755,2015,620,0,180,2455,2595,40
5909014,Fraser Valley,Fraser Valley A,Regional district electoral area,25,95,305,205,20,50,90,65,20,0,0,0,90,40,40,145,80,0,0,225,225,0
5909020,Fraser Valley,Chilliwack,City,10110,17610,49205,28600,1865,4590,7615,4495,6075,2955,4740,3300,7870,10150,9140,22760,7695,0,7205,23255,30165,300
5909027,Fraser Valley,Harrison Hot Springs,Village,430,360,710,625,45,45,90,50,275,170,35,30,220,300,115,560,100,0,150,520,665,0
5909032,Fraser Valley,Kent,District municipality,735,1085,3005,1925,130,260,555,375,505,240,120,190,415,890,550,1690,365,0,320,1735,2040,15
5909034,Fraser Valley,Fraser Valley D,Regional district electoral area,105,360,820,460,15,30,50,95,150,90,60,25,55,220,175,455,20,0,0,440,435,0
5909036,Fraser Valley,Fraser Valley E,Regional district electoral area,350,695,2135,1340,85,170,560,325,205,110,55,80,505,515,330,1265,160,0,0,1425,1410,0
5909052,Fraser Valley,Abbotsford,City,36040,35390,59525,44070,2380,2590,13025,11920,11290,3805,3820,5470,13180,11490,16310,34450,12005,0,12865,33585,44710,1740
5909056,Fraser Valley,Mission,District municipality,5240,7775,22455,12000,785,1565,4275,2170,2465,1415,895,885,2180,4700,5015,10260,2530,0,1200,11585,12615,175
5909060,Fraser Valley,Fraser Valley F,Regional district electoral area,145,315,860,445,65,105,205,80,100,25,0,40,150,245,75,440,70,0,0,510,510,0
5909804,Fraser Valley,Chawathil 4,Indian reserve,0,0,150,35,10,0,10,15,20,10,0,0,0,25,20,30,10,10,0,45,45,0
5909807,Fraser Valley,Ohamil 1,Indian reserve,10,10,60,20,10,0,0,10,10,0,0,0,10,10,0,10,0,10,0,25,20,0
5909812,Fraser Valley,Schkam 2,Indian reserve,0,0,125,15,15,0,0,0,10,0,10,0,10,20,10,10,0,25,0,30,25,10
5909819,Fraser Valley,Kahmoose 4,Indian reserve,0,0,85,25,0,0,10,15,0,0,0,0,10,10,15,10,0,25,0,30,35,0
5909821,Fraser Valley,Kwawkwawapilt 6,Indian reserve,65,115,165,190,0,0,15,125,55,0,0,0,155,25,0,195,0,0,0,195,195,0
5909824,Fraser Valley,Skwah 4,Indian reserve,10,15,195,30,30,0,25,20,0,0,0,10,15,20,15,50,0,0,0,55,50,10
5909826,Fraser Valley,Skway 5,Indian reserve,15,15,65,25,0,0,0,10,15,10,0,0,10,10,15,15,0,10,0,30,25,0
5909827,Fraser Valley,Soowahlie 14,Indian reserve,0,10,175,40,20,0,10,25,25,0,0,0,10,35,15,35,10,15,0,55,55,0
5909830,Fraser Valley,Tzeachten 13,Indian reserve,195,410,780,640,45,0,75,75,300,40,185,40,445,135,55,640,35,10,0,670,680,0
5909832,Fraser Valley,Seabird Island,Indian reserve,25,40,545,155,50,10,55,45,75,20,15,25,55,70,50,80,35,90,10,195,190,15
5909837,Fraser Valley,Cheam 1,Indian reserve,0,10,210,55,20,0,15,15,30,0,10,0,15,20,25,35,15,15,0,70,65,0
5909839,Fraser Valley,Chehalis 5,Indian reserve,25,60,560,75,110,30,55,60,20,10,15,10,25,90,60,150,25,15,0,190,175,10
5909841,Fraser Valley,Stullawheets 8,Indian reserve,0,10,35,20,0,0,0,10,0,0,0,0,10,10,0,15,0,10,0,20,20,0
5909845,Fraser Valley,Skookumchuck 4,Indian reserve,0,0,100,20,10,0,10,0,0,10,0,0,10,15,0,15,0,15,0,30,30,0
5909875,Fraser Valley,Q'alatkÅÒ7em,Indian reserve,0,0,80,10,15,0,0,0,15,0,0,0,0,10,10,10,0,15,0,20,20,0
5909877,Fraser Valley,Upper Sumas 6,Indian reserve,0,10,175,45,10,0,10,20,25,0,0,0,10,20,20,25,10,25,0,60,55,0
5909878,Fraser Valley,Matsqui Main 2,Indian reserve,0,10,65,20,0,0,0,0,15,0,0,0,0,15,10,10,10,0,0,20,25,0
5909879,Fraser Valley,Holachten 8,Indian reserve,20,40,250,110,25,0,30,40,60,0,0,0,50,65,15,105,15,10,0,135,130,0
5909880,Fraser Valley,Lakahahmen 11,Indian reserve,0,30,145,65,15,0,40,20,20,0,0,10,30,30,10,70,10,0,0,80,75,0
5909881,Fraser Valley,Skweahm 10,Indian reserve,15,45,225,110,0,0,0,20,65,0,0,0,25,70,20,105,0,0,0,110,120,0
5909882,Fraser Valley,Squawkum Creek 3,Indian reserve,0,0,105,20,15,0,15,0,15,0,0,0,0,20,15,15,0,15,0,35,30,0
5909884,Fraser Valley,Skowkale,Indian reserve,90,125,585,335,10,0,10,20,220,50,45,80,125,85,55,320,15,15,25,320,345,0
5909885,Fraser Valley,Squiaala,Indian reserve,0,0,80,25,10,0,0,10,20,0,0,0,10,10,15,20,0,10,0,25,30,0
5915001,Greater Vancouver,Langley,District municipality,19780,25045,58320,35710,1525,2105,9635,7995,9055,3890,4570,2485,7675,13310,13765,31545,5695,0,7460,29780,36775,460
5915002,Greater Vancouver,Langley,City,4150,5425,14905,10655,660,385,4495,2140,2645,625,1020,2605,4410,2550,1745,7350,3960,0,5765,5545,11150,165
5915004,Greater Vancouver,Surrey,City,193730,126500,143105,146070,6780,9175,29605,35810,38305,19225,20735,18025,38135,45465,51225,111660,41185,0,38865,113985,143390,9455
5915007,Greater Vancouver,White Rock,City,4710,5190,8635,9245,620,1425,3335,2365,1660,605,475,2350,4270,1740,1515,6725,3140,0,4055,5810,9740,130
5915011,Greater Vancouver,Delta,District municipality,29220,26725,42795,32655,2100,2655,18660,7355,4105,770,1225,3175,5855,12080,13640,28140,6615,0,4655,30100,34005,745
5915015,Greater Vancouver,Richmond,City,117435,40905,30965,63480,4500,3455,20685,14200,15015,6335,8280,10385,17125,20860,19605,52420,15555,0,29395,38580,64310,3670
5915020,Greater Vancouver,Greater Vancouver A,Regional district electoral area,8480,1955,1940,4765,280,555,475,470,1250,850,1450,1430,2240,685,690,2555,2495,0,2945,2095,4595,455
5915022,Greater Vancouver,Vancouver,City,284800,153330,152075,243125,21445,73615,68460,37795,43275,21085,20340,107395,70095,36960,50115,128440,136135,0,86410,178160,253250,11325
5915025,Greater Vancouver,Burnaby,City,119250,55700,45315,80945,5895,14555,26350,15445,13955,6380,10150,21135,26315,18075,21315,55125,31710,0,32850,53990,81890,4950
5915029,Greater Vancouver,New Westminster,City,23285,16875,24925,27995,2590,7490,7990,4390,5380,1560,3770,11610,10785,4390,3800,17210,13375,0,12965,17620,29325,1260
5915034,Greater Vancouver,Coquitlam,City,54975,28970,41075,42825,2725,3975,14340,9910,11105,2365,3860,6895,10665,12365,15635,33880,11675,0,12865,32690,43860,1690
5915036,Greater Vancouver,Belcarra,Village,125,130,390,260,0,0,105,85,55,0,0,0,30,115,115,245,20,0,0,265,270,0
5915038,Greater Vancouver,Anmore,Village,485,500,1105,600,30,40,80,45,145,180,140,15,50,160,400,575,55,0,0,620,625,0
5915039,Greater Vancouver,Port Coquitlam,City,17030,13715,25040,19380,1270,1320,6490,3600,5870,1535,1830,2550,4710,7060,6335,16125,4520,0,6460,14195,20205,445
5915043,Greater Vancouver,Port Moody,City,10950,7765,14165,12005,625,1060,3615,1320,2425,1675,2540,1325,3740,4305,3265,9715,2920,0,6320,6305,12325,305
5915046,Greater Vancouver,North Vancouver,District municipality,26635,20960,35965,28615,1940,8195,12215,5030,3095,995,1015,3195,5845,9115,12395,24765,5790,0,6920,23635,30045,505
5915051,Greater Vancouver,North Vancouver,City,19135,11160,17395,21015,1775,4380,8385,3780,3060,1415,1770,8620,7260,4120,2790,12390,10400,0,9690,13100,21980,810
5915055,Greater Vancouver,West Vancouver,District municipality,18380,10225,13440,15875,1200,4505,6235,2480,1910,910,1040,2655,3725,4045,6650,13465,3615,0,3595,13485,16905,170
5915065,Greater Vancouver,Lions Bay,Village,395,365,560,470,25,0,305,105,75,0,0,25,45,215,215,430,65,0,25,480,500,0
5915070,Greater Vancouver,Pitt Meadows,City,4140,4220,9355,6400,320,200,1690,1455,1770,620,980,555,1740,2685,1735,5250,1470,0,1910,4810,6640,75
5915075,Greater Vancouver,Maple Ridge,District municipality,13480,17365,44290,26335,1710,2705,6915,6075,6375,3080,2895,2610,5880,9875,9675,22590,5450,0,5390,22660,27675,365
5915801,Greater Vancouver,Semiahmoo,Indian reserve,10,15,85,45,15,20,30,0,0,0,0,20,30,15,0,60,0,0,0,60,65,0
5915802,Greater Vancouver,Tsawwassen,Indian reserve,155,115,445,270,30,15,40,100,130,0,15,30,75,95,95,265,20,10,75,225,300,0
5915803,Greater Vancouver,Musqueam 2,Indian reserve,240,230,1135,470,90,20,295,95,60,25,55,10,80,230,240,390,135,30,0,555,550,10
5915806,Greater Vancouver,Burrard Inlet 3,Indian reserve,425,295,750,635,100,0,0,20,335,250,110,205,405,75,45,535,190,0,660,65,725,0
5915807,Greater Vancouver,Mission 1,Indian reserve,30,45,540,120,55,10,65,50,35,0,0,0,40,50,80,80,10,75,35,135,160,10
5915808,Greater Vancouver,Capilano 5,Indian reserve,1200,325,1145,1195,115,105,850,155,110,55,40,730,320,135,125,210,930,170,165,1150,1205,110
5915811,Greater Vancouver,Seymour Creek 2,Indian reserve,0,10,85,20,10,0,0,10,15,0,0,0,10,0,15,0,0,20,0,30,30,0
5915816,Greater Vancouver,McMillan Island 6,Indian reserve,0,10,55,20,10,0,10,0,10,0,0,0,0,10,10,25,0,0,0,20,20,0
5915825,Greater Vancouver,Matsqui 4,Indian reserve,40,165,175,230,0,0,75,130,30,0,0,0,215,30,0,210,35,0,0,240,245,0
5915830,Greater Vancouver,Katzie 1,Indian reserve,10,15,210,45,20,0,10,35,20,0,0,10,0,30,20,55,0,10,0,65,60,0
5917005,Capital,North Saanich,District municipality,2225,2810,5985,4295,210,525,1360,1325,750,310,235,280,720,1945,1560,4025,480,0,190,4310,4470,0
5917010,Capital,Sidney,Town,2310,2875,5470,5020,310,435,2250,1360,730,310,250,700,2195,1575,860,4280,1045,0,1895,3435,5285,45
5917015,Capital,Central Saanich,District municipality,2625,3855,9245,6280,320,745,2525,1745,845,400,340,665,1505,2470,1960,5315,1285,0,920,5675,6525,70
5917021,Capital,Saanich,District municipality,25660,27565,54630,42970,2425,12530,14895,8820,5770,1880,1495,6130,11500,13435,14325,33245,12140,0,7260,38125,44900,485
5917027,Capital,Capital F,Regional district electoral area,2390,2085,5530,4205,460,565,1465,1020,955,345,320,540,1655,1545,925,3845,815,0,190,4470,4580,90
5917029,Capital,Capital G,Regional district electoral area,1140,1250,2355,2320,210,405,650,500,595,180,200,345,1065,865,260,2235,295,0,0,2530,2515,0
5917030,Capital,Oak Bay,District municipality,4260,4775,8345,7415,350,4945,1840,515,230,125,115,1240,1785,2060,2675,5880,1885,0,840,6925,7730,40
5917034,Capital,Victoria,City,15920,18770,41330,39525,3430,15100,15170,4995,4140,1430,2120,18410,15440,5815,3295,17485,25475,0,11600,31355,42270,685
5917040,Capital,Esquimalt,District municipality,2225,3630,10080,7510,530,2725,3250,810,655,365,230,2150,3005,1935,945,3975,4065,0,1495,6540,7945,90
5917041,Capital,Colwood,City,1860,3375,10770,5850,250,615,2480,1225,575,460,745,440,1150,2460,2050,4775,1320,0,795,5300,6040,55
5917042,Capital,Metchosin,District municipality,690,1080,2710,1675,110,265,665,430,255,55,110,180,325,705,575,1485,300,0,20,1760,1755,30
5917044,Capital,Langford,City,3640,6030,19285,11335,345,895,2995,1025,1850,1635,3285,1320,2970,4315,3080,8855,2825,0,2075,9605,11565,110
5917047,Capital,View Royal,Town,1530,1980,5735,3785,165,590,655,800,915,605,385,580,950,1500,915,2845,1100,0,810,3135,3880,65
5917049,Capital,Highlands,District municipality,210,600,1355,740,35,20,200,160,230,95,80,15,125,275,360,745,35,0,0,775,780,0
5917052,Capital,Sooke,District municipality,1370,2380,7605,4240,265,460,1410,600,765,515,765,325,1180,1910,1090,3675,835,0,385,4120,4490,0
5917054,Capital,Capital H (Part 1),Regional district electoral area,745,850,2655,1685,145,75,525,255,585,170,220,175,465,755,430,1555,270,0,0,1820,1825,0
5917801,Capital,Cole Bay 3,Indian reserve,15,10,305,55,25,10,10,10,40,0,10,0,15,35,25,50,0,25,0,80,75,0
5917802,Capital,Union Bay 4,Indian reserve,10,0,100,30,10,0,10,0,15,0,10,0,10,10,15,25,10,0,0,35,35,0
5917803,Capital,East Saanich 2,Indian reserve,185,345,1175,785,70,0,75,230,340,145,60,155,480,175,45,785,40,25,30,825,825,30
5917804,Capital,South Saanich 1,Indian reserve,50,70,695,140,65,10,85,35,15,20,30,15,55,85,45,160,35,15,0,205,165,40
5917812,Capital,New Songhees 1A,Indian reserve,165,435,1080,775,65,20,395,170,225,10,0,70,540,185,45,635,200,0,0,840,825,20
5917815,Capital,Gordon River 2,Indian reserve,10,0,85,20,10,0,10,15,0,0,0,0,10,10,10,20,0,10,0,30,30,0
5917819,Capital,T'Sou-ke,Indian reserve,10,20,195,70,10,10,10,15,20,20,10,0,15,40,20,45,15,25,0,80,80,0
5919008,Cowichan Valley,North Cowichan,District municipality,3905,6070,18260,11290,760,2150,3780,1895,2485,745,995,965,2895,5105,3085,9355,2700,0,1100,10955,11995,65
5919012,Cowichan Valley,Duncan,City,560,1000,2890,2160,225,730,770,270,425,35,155,570,1020,625,175,1350,1035,0,605,1780,2375,0
5919013,Cowichan Valley,Cowichan Valley D,Regional district electoral area,375,755,1885,1200,70,130,575,155,120,145,150,125,275,525,355,1120,155,0,115,1155,1275,0
5919015,Cowichan Valley,Cowichan Valley G,Regional district electoral area,335,575,1230,895,90,250,365,110,170,40,50,105,325,290,270,875,115,0,0,990,985,0
5919016,Cowichan Valley,Lake Cowichan,Town,285,510,2160,1205,90,440,255,75,355,90,90,120,335,480,360,1005,295,0,130,1160,1275,0
5919017,Cowichan Valley,Cowichan Valley H,Regional district electoral area,275,480,1480,975,45,175,390,140,165,50,100,105,255,385,275,870,145,0,0,1020,1020,0
5919021,Cowichan Valley,Ladysmith,Town,1130,1865,4860,3215,195,885,820,405,655,270,380,250,835,1410,910,2710,700,0,360,3050,3380,35
5919035,Cowichan Valley,Cowichan Valley I,Regional district electoral area,115,285,725,490,90,230,100,115,70,25,30,0,215,265,85,475,100,0,0,575,575,0
5919043,Cowichan Valley,Cowichan Valley A,Regional district electoral area,710,1010,2555,1685,85,150,510,230,450,230,200,155,390,710,510,1605,165,0,120,1650,1755,0
5919046,Cowichan Valley,Cowichan Valley B,Regional district electoral area,955,1720,5320,2930,140,275,685,865,655,225,360,155,595,1195,1120,2785,280,0,15,3050,3045,20
5919049,Cowichan Valley,Cowichan Valley C,Regional district electoral area,930,1075,2790,1960,150,195,575,575,560,105,105,45,755,835,475,1955,160,0,120,1995,2100,15
5919051,Cowichan Valley,Cowichan Valley E,Regional district electoral area,320,855,2645,1380,135,310,590,220,280,60,60,80,290,655,485,1335,180,0,35,1480,1510,0
5919801,Cowichan Valley,Halalt 2,Indian reserve,0,10,150,30,15,0,15,0,0,0,10,0,10,15,10,25,0,10,0,40,30,10
5919802,Cowichan Valley,Squaw-hay-one 11,Indian reserve,0,0,40,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0
5919803,Cowichan Valley,Tsussie 6,Indian reserve,0,10,75,15,10,0,0,10,0,0,0,0,0,15,0,10,0,10,0,20,25,0
5919804,Cowichan Valley,Chemainus 13,Indian reserve,10,10,650,95,60,10,40,55,35,10,0,0,15,55,75,45,20,90,0,155,135,15
5919809,Cowichan Valley,Kuper Island 7,Indian reserve,0,0,440,70,55,0,20,35,40,10,20,0,15,75,35,65,15,50,0,125,120,0
5919814,Cowichan Valley,Malachan 11,Indian reserve,0,0,160,40,15,0,10,20,10,0,15,0,25,15,15,25,10,25,0,55,50,0
5919815,Cowichan Valley,Malahat 11,Indian reserve,0,10,95,15,10,0,10,0,10,0,0,0,0,0,10,0,0,15,0,20,15,0
5919816,Cowichan Valley,Oyster Bay 12,Indian reserve,0,0,85,15,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,15,0
5919822,Cowichan Valley,Cowichan,Indian reserve,80,115,2115,385,115,20,95,95,145,85,55,30,60,185,230,305,115,80,15,485,425,75
5921007,Nanaimo,Nanaimo,City,12755,17845,50960,33895,2310,5535,11250,6645,7310,2470,2995,4385,10645,11230,9950,25990,10210,0,5690,30510,35965,245
5921008,Nanaimo,Lantzville,District municipality,665,960,2045,1330,140,235,570,385,190,45,50,50,215,665,530,1330,135,0,0,1440,1460,0
5921010,Nanaimo,Nanaimo A,Regional district electoral area,665,1475,4745,2695,205,400,905,640,505,250,205,165,730,1275,730,2525,380,0,20,2880,2885,0
5921014,Nanaimo,Nanaimo B,Regional district electoral area,945,975,2110,1975,100,155,535,385,685,170,145,270,880,700,225,1870,205,0,50,2020,2040,30
5921016,Nanaimo,Nanaimo C,Regional district electoral area,380,555,1755,975,55,120,290,190,215,90,135,70,235,375,350,865,165,0,0,1035,1025,0
5921018,Nanaimo,Parksville,City,2260,2975,6200,5425,265,350,1585,1140,1495,670,445,385,2520,2295,485,4420,1265,0,1285,4400,5665,20
5921023,Nanaimo,Qualicum Beach,Town,2150,1970,4095,4005,125,265,920,1005,1425,310,200,210,1475,1950,500,3700,425,0,570,3560,4105,25
5921030,Nanaimo,Nanaimo E,Regional district electoral area,1135,1370,3130,2485,100,105,715,570,625,325,250,150,775,1090,575,2355,235,0,105,2475,2580,0
5921032,Nanaimo,Nanaimo F,Regional district electoral area,795,1405,5175,2925,320,255,945,555,700,395,395,355,1100,1165,625,2465,785,0,105,3140,3215,25
5921034,Nanaimo,Nanaimo G,Regional district electoral area,1240,1785,4045,3020,150,115,680,815,810,460,295,55,935,1695,480,2910,260,0,270,2900,3165,0
5921036,Nanaimo,Nanaimo H,Regional district electoral area,590,820,2015,1545,95,185,360,355,305,165,265,150,565,700,220,1310,330,0,85,1555,1635,0
5921804,Nanaimo,Nanaimo Town 1,Indian reserve,10,15,360,105,20,0,25,25,20,10,50,0,25,50,50,55,20,40,0,120,120,0
5921805,Nanaimo,Nanoose,Indian reserve,10,20,180,55,25,0,10,20,20,10,20,0,15,40,15,15,0,55,10,65,80,0
5921806,Nanaimo,Qualicum,Indian reserve,0,15,65,30,10,0,10,10,0,0,10,0,10,15,10,20,0,10,0,30,30,0
5921807,Nanaimo,Nanaimo River,Indian reserve,0,0,290,90,10,10,20,25,25,0,20,10,15,30,45,20,0,70,0,95,95,0
5923008,Alberni-Clayoquot,Port Alberni,City,1555,3225,12620,7085,855,3460,2845,690,640,140,170,800,2230,2760,2155,5380,2565,0,440,7505,7860,85
5923033,Alberni-Clayoquot,Alberni-Clayoquot B,Regional district electoral area,55,110,290,170,0,40,90,0,35,0,0,0,20,85,80,180,0,0,0,195,200,0
5923035,Alberni-Clayoquot,Alberni-Clayoquot D,Regional district electoral area,200,230,1255,655,120,115,310,130,155,30,25,0,180,215,325,680,90,0,0,765,755,0
5923037,Alberni-Clayoquot,Alberni-Clayoquot E,Regional district electoral area,240,655,1980,1065,120,330,460,170,155,25,50,70,305,450,355,1040,145,0,0,1180,1165,0
5923039,Alberni-Clayoquot,Alberni-Clayoquot F,Regional district electoral area,245,335,1320,695,165,220,330,135,95,50,20,20,210,425,200,760,95,0,0,850,855,0
5923801,Alberni-Clayoquot,Ahahswinis 1,Indian reserve,0,10,145,50,10,10,10,10,10,20,0,0,10,25,20,40,20,0,0,55,60,0
5923803,Alberni-Clayoquot,Anacla 12,Indian reserve,0,0,65,20,20,0,25,10,10,0,0,0,15,15,10,15,10,15,0,45,40,0
5923807,Alberni-Clayoquot,Ittatsoo 1,Indian reserve,15,10,220,80,10,0,20,25,0,0,30,0,30,35,20,45,10,30,0,85,85,0
5923808,Alberni-Clayoquot,Marktosis 15,Indian reserve,0,15,700,80,80,0,35,45,40,20,20,0,25,75,55,100,10,50,0,160,130,30
5923813,Alberni-Clayoquot,Opitsat 1,Indian reserve,0,0,150,45,0,0,15,10,10,15,0,0,15,15,10,0,0,45,0,50,45,0
5923816,Alberni-Clayoquot,Tsahaheh 1,Indian reserve,25,30,530,135,55,10,45,45,30,0,55,15,40,95,45,135,45,0,10,185,185,10
5923823,Alberni-Clayoquot,Esowista 3,Indian reserve,10,10,160,25,15,0,0,15,10,0,0,0,0,20,15,35,0,0,0,40,30,0
