Geo_Code,CD_Name,CSD_Name,CSD_type,First generation,Second generation,Third generation or more,Only regular maintenance or minor repairs needed,Major repairs needed,Constructed 1960 or before,Constructed 1961 to 1980,Constructed 1981 to 1990,Constructed 1991 to 2000,Constructed 2001 to 2005,Constructed 2006 to 2011,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Part of a condominium development,Not part of a condominium development,One person or fewer per room,More than one person per room
5901003,East Kootenay,Elkford,District municipality,285,425,1815,935,55,0,540,285,30,0,120,40,255,325,370,830,165,0,140,850,990,0
5901006,East Kootenay,Sparwood,District municipality,305,645,2710,1480,105,170,900,275,120,40,85,150,235,680,520,1170,420,0,120,1465,1575,0
5901012,East Kootenay,Fernie,City,685,805,2865,1845,145,535,720,310,100,195,130,230,405,730,625,1455,530,0,320,1670,1985,0
5901022,East Kootenay,Cranbrook,City,1375,3330,14120,7420,720,1610,3320,965,1325,245,675,455,2420,2580,2685,6300,1840,0,830,7310,8105,35
5901028,East Kootenay,Kimberley,City,805,1355,4320,2595,355,1435,785,205,270,140,100,285,745,1185,725,2260,685,0,180,2765,2925,0
5901035,East Kootenay,East Kootenay C,Regional district electoral area,535,1185,3975,2110,150,200,970,435,455,85,130,85,400,945,840,2015,240,0,0,2260,2230,35
5901039,East Kootenay,Invermere,District municipality,375,600,1700,1055,130,135,305,215,220,155,155,125,275,385,400,810,375,0,175,1010,1170,0
5901046,East Kootenay,East Kootenay F,Regional district electoral area,280,550,1785,1015,50,35,260,170,305,145,155,90,165,425,390,890,175,0,30,1035,1050,0
5901801,East Kootenay,Tobacco Plains 2,Indian reserve,10,10,40,15,0,10,10,10,0,0,0,0,0,0,10,15,0,10,0,25,20,0
5901803,East Kootenay,Kootenay 1,Indian reserve,Null,Null,Null,20,15,10,0,15,0,0,0,0,10,10,15,25,0,0,0,35,30,0
5901804,East Kootenay,Columbia Lake 3,Indian reserve,Null,Null,Null,25,30,0,20,30,0,0,0,0,10,25,15,40,0,15,0,55,55,0
5901806,East Kootenay,Shuswap,Indian reserve,40,45,210,105,15,0,35,15,30,25,10,0,45,45,30,85,30,0,10,110,120,0
5903004,Central Kootenay,Creston,Town,495,915,3665,2220,240,780,650,425,315,105,185,340,910,720,495,1880,580,0,300,2160,2435,0
5903013,Central Kootenay,Central Kootenay B,Regional district electoral area,525,1065,2855,1635,140,290,640,225,325,70,230,130,540,650,455,1575,205,0,0,1775,1730,50
5903015,Central Kootenay,Nelson,City,1285,2315,6385,4105,525,2280,1115,235,460,155,385,850,1230,1550,1000,2920,1710,0,350,4270,4595,30
