DevelopmentRegion,SGC,SGC_5digit,Regional District,RD-name-2,RD-PTT-grp,SGC,SGC-UID,CSDUID,Municipality,Area Type,Municipal_PTT_grp
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1043,59,591043,Canal Flats,VL,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1022,59,591022,Cranbrook,CY,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1003,59,591003,Elkford,DM,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1012,59,591012,Fernie,CY,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1039,59,591039,Invermere,DM,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1028,59,591028,Kimberley,CY,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1040,59,591040,Radium Hot Springs,VL,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1006,59,591006,Sparwood,DM,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1999,59,591999,Unincorporated Areas,RDR,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3045,59,593045,Castlegar,CY,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3004,59,593004,Creston,T,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3023,59,593023,Kaslo,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3050,59,593050,Nakusp,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3015,59,593015,Nelson,CY,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3032,59,593032,New Denver,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3011,59,593011,Salmo,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3027,59,593027,Silverton,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3019,59,593019,Slocan,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3999,59,593999,Unincorporated Areas,RDR,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5005,59,595005,Fruitvale,VL,NA
