DevelopmentRegion,SGC,SGC_5digit,Regional District,RD-name-2,RD-PTT-grp,SGC,SGC-UID,CSDUID,Municipality,Area Type,Municipal_PTT_grp
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5032,59,595032,Grand Forks,CY,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5042,59,595042,Greenwood,CY,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5037,59,595037,Midway,VL,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5009,59,595009,Montrose,VL,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5023,59,595023,Rossland,CY,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5014,59,595014,Trail,CY,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5018,59,595018,Warfield,VL,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5999,59,595999,Unincorporated Areas,RDR,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7009,59,597009,Keremeos,VL,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7014,59,597014,Oliver,T,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7005,59,597005,Osoyoos,T,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7041,59,597041,Penticton,CY,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7024,59,597024,Princeton,T,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7035,59,597035,Summerland,DM,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7999,59,597999,Unincorporated Areas,RDR,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9052,59,599052,Abbotsford,CY,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9020,59,599020,Chilliwack,CY,Rest of Fraser Valley
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9027,59,599027,Harrison Hot Springs,VL,Rest of Fraser Valley
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9009,59,599009,Hope,DM,Rest of Fraser Valley
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9032,59,599032,Kent,DM,Rest of Fraser Valley
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9056,59,599056,Mission,DM,Rest of Fraser Valley
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9999,59,599999,Unincorporated Areas,RDR,Rest of Fraser Valley
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15038,59,5915038,Anmore,VL,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15036,59,5915036,Belcarra,VL,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15062,59,5915062,Bowen Island,IM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15025,59,5915025,Burnaby,CY,Burnaby
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15034,59,5915034,Coquitlam,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15011,59,5915011,Delta,DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15002,59,5915002,"Langley, City of",CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15001,59,5915001,"Langley, District Municipality",DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15065,59,5915065,Lions Bay,VL,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15075,59,5915075,Maple Ridge,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15029,59,5915029,New Westminster,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15051,59,5915051,"North Vancouver, City of",CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15046,59,5915046,"North Vancouver, District Municipality",DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15070,59,5915070,Pitt Meadows,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15039,59,5915039,Port Coquitlam,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15043,59,5915043,Port Moody,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15015,59,5915015,Richmond,CY,Richmond
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15004,59,5915004,Surrey,CY,Surrey
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15022,59,5915022,Vancouver,CY,Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15055,59,5915055,West Vancouver,DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15007,59,5915007,White Rock,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15999,59,5915999,Unincorporated Areas,RDR,Rest of Metro Vancouver
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17015,59,5917015,Central Saanich,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17041,59,5917041,Colwood,CY,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17040,59,5917040,Esquimalt,DM,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17049,59,5917049,Highlands,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17044,59,5917044,Langford,CY,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17042,59,5917042,Metchosin,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17005,59,5917005,North Saanich,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17030,59,5917030,Oak Bay,DM,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17021,59,5917021,Saanich,DM,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17010,59,5917010,Sidney,T,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17052,59,5917052,Sooke,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17034,59,5917034,Victoria,CY,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17047,59,5917047,View Royal,T,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17999,59,5917999,Unincorporated Areas,RDR,Peninsula & Westshore
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19012,59,5919012,Duncan,CY,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19021,59,5919021,Ladysmith,T,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19016,59,5919016,Lake Cowichan,T,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19008,59,5919008,North Cowichan,DM,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19999,59,5919999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21008,59,5921008,Lantzville,DM,Rest of Nanaimo RD
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21007,59,5921007,Nanaimo,CY,Nanaimo
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21018,59,5921018,Parksville,CY,Rest of Nanaimo RD
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21023,59,5921023,Qualicum Beach,T,Rest of Nanaimo RD
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21999,59,5921999,Unincorporated Areas,RDR,Rest of Nanaimo RD
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23008,59,5923008,Port Alberni,CY,NA
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23025,59,5923025,Tofino,DM,NA
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23019,59,5923019,Ucluelet,DM,NA
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23999,59,5923999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24034,59,5924034,Campbell River,CY,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24025,59,5924025,Gold River,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24039,59,5924039,Sayward,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24030,59,5924030,Tahsis,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24029,59,5924029,Zeballos,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24999,59,5924999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26005,59,5926005,Comox,T,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26010,59,5926010,Courtenay,CY,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26014,59,5926014,Cumberland,VL,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26999,59,5926999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,27000,27000,Powell River,Powell River,POWELL RIVER-MOUNT WADDINGTON,27008,59,5927008,Powell River,CY,NA
Vancouver Island/Coast,27000,27000,Powell River,Powell River,POWELL RIVER-MOUNT WADDINGTON,27806,59,5927806,Sechelt Ind Gov Dist (Part-Powell River),IGD,NA
Vancouver Island/Coast,27000,27000,Powell River,Powell River,POWELL RIVER-MOUNT WADDINGTON,27999,59,5927999,Unincorporated Areas,RDR,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29005,59,5929005,Gibsons,T,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29803,59,5929803,Sechelt Ind Gov Dist (Part-Sunshine Coast),IGD,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29011,59,5929011,Sechelt District Municipality,DM,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29999,59,5929999,Unincorporated Areas,RDR,NA
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31026,59,5931026,Lillooet,DM,Rest of Squamish-Lillooet
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31012,59,5931012,Pemberton,VL,Rest of Squamish-Lillooet
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31006,59,5931006,Squamish,DM,Rest of Squamish-Lillooet
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31020,59,5931020,Whistler,DM,Whistler
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31999,59,5931999,Unincorporated Areas,RDR,Rest of Squamish-Lillooet
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33019,59,5933019,Ashcroft,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33074,59,5933074,Barriere,DM,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33024,59,5933024,Cache Creek,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33054,59,5933054,Chase,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33067,59,5933067,Clearwater,DM,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33028,59,5933028,Clinton,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33042,59,5933042,Kamloops,CY,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33035,59,5933035,Logan Lake,DM,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33015,59,5933015,Lytton,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33006,59,5933006,Merritt,CY,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33045,59,5933045,Sun Peaks Mountain,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33999,59,5933999,Unincorporated Areas,RDR,NA
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35010,59,5935010,Kelowna,CY,Kelowna
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35016,59,5935016,Lake Country,DM,Rest of Central Okanagan
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35018,59,5935018,Peachland,DM,Rest of Central Okanagan
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35029,59,5935029,West Kelowna,DM,Rest of Central Okanagan
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35999,59,5935999,Unincorporated Areas,RDR,Rest of Central Okanagan
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37028,59,5937028,Armstrong,CY,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37010,59,5937010,Coldstream,DM,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37033,59,5937033,Enderby,CY,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37005,59,5937005,Lumby,VL,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37024,59,5937024,Spallumcheen,DM,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37014,59,5937014,Vernon,CY,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37999,59,5937999,Unincorporated Areas,RDR,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39007,59,5939007,Golden,T,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39019,59,5939019,Revelstoke,CY,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39032,59,5939032,Salmon Arm,CY,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39045,59,5939045,Sicamous,DM,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39999,59,5939999,Unincorporated Areas,RDR,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41005,59,5941005,One Hundred Mile House,DM,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41013,59,5941013,Quesnel,CY,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41025,59,5941025,Wells,DM,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41009,59,5941009,Williams Lake,CY,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41999,59,5941999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43008,59,5943008,Alert Bay,VL,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43017,59,5943017,Port Alice,VL,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43023,59,5943023,Port Hardy,DM,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43012,59,5943012,Port McNeill,T,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43999,59,5943999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,45000,45000,Central Coast,Central Coast,Central Coast,45000,59,5945000,Central Coast,RD,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47023,59,5947023,Masset,VL,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47030,59,5947030,Port Clements,VL,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47007,59,5947007,Port Edward,DM,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47012,59,5947012,Prince Rupert,CY,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47026,59,5947026,Queen Charlotte,VL,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47999,59,5947999,Unincorporated Areas,RDR,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49022,59,5949022,Hazelton,VL,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49005,59,5949005,Kitimat,DM,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49024,59,5949024,New Hazelton,DM,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49032,59,5949032,Stewart,DM,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49011,59,5949011,Terrace,CY,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49999,59,5949999,Unincorporated Areas,RDR,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51022,59,5951022,Burns Lake,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51013,59,5951013,Fort St. James,DM,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51009,59,5951009,Fraser Lake,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51032,59,5951032,Granisle,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51034,59,5951034,Houston,DM,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51043,59,5951043,Smithers,T,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51038,59,5951038,Telkwa,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51007,59,5951007,Vanderhoof,DM,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51999,59,5951999,Unincorporated Areas,RDR,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53033,59,5953033,Mackenzie,DM,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53012,59,5953012,McBride,VL,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53023,59,5953023,Prince George,CY,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53007,59,5953007,Valemount,VL,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53999,59,5953999,Unincorporated Areas,RDR,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55010,59,5955010,Chetwynd,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55014,59,5955014,Dawson Creek,CY,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55034,59,5955034,Fort St. John,CY,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55025,59,5955025,Hudson's Hope,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55005,59,5955005,Pouce Coupe,VL,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55030,59,5955030,Taylor,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55003,59,5955003,Tumbler Ridge,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55999,59,5955999,Unincorporated Areas,RDR,NA
Nechako,57000,57000,Stikine,Stikine,Stikine,57000,59,5957000,Stikine,R,NA
Northeast,59000,59000,Northern Rockies,Northern Rockies,NORTHERN ROCKIES-PEACE RIVER,59007,59,5959007,Northern Rockies Regional Municipality,RGM,NA
Northeast,59000,59000,Northern Rockies,Northern Rockies,NORTHERN ROCKIES-PEACE RIVER,59999,59,5959999,Unincorporated Areas,RDR,NA
