trans_period	DevelopmentRegion	RegionalDistrict	Municipal_PTT_grp	CSDUID	Municipality	no_mkt_trans	no_resid_trans	no_resid_acreage_trans	resid_comm_count	no_resid_farm	no_resid_fam	no_res_1fam	no_resid_strata	no_resid_non_strata	no_resid_other	no_comm_tot	no_comm_comm	no_comm_strata_nores	no_comm_other	no_recr_tot	no_farm_tot	no_unkn_tot	sum_FMV	mn_FMV	md_FMV	sum_PPT_paid	md_PPT	no_foreign	sum_FMV_foreign	mn_FMV_foreign	md_FMV_foreign	add_tax_paid
2016-10-01	Mainland/Southwest	FRASER VALLEY	Abbotsford	599052	Abbotsford	354	348	7	5	7		131	118	3	77	2	1		1	1	2	1	178022074	502887.2	450000	2762775.4	6100					
2016-10-01	Mainland/Southwest	FRASER VALLEY	Chilliwack	599020	Chilliwack	366	341	8	1	5	1	119	83	1	123	5	2	2	1		20		154053309	420910.7	354500	2210366.1	3928					
2016-10-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley			246	172	10	3	2	1	95	17		44	37	3		34	9	1	27	123973627	503957.8	369950	2084477.2	4700					
2016-10-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599027	Harrison Hot Springs	246	172	10	3	2	1	95	17		44	37	3		34	9	1	27	123973627	503957.8	369950	2084477.2	4700					
2016-10-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599009	Hope	246	172	10	3	2	1	95	17		44	37	3		34	9	1	27	123973627	503957.8	369950	2084477.2	4700					
2016-10-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599032	Kent	246	172	10	3	2	1	95	17		44	37	3		34	9	1	27	123973627	503957.8	369950	2084477.2	4700					
2016-10-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599056	Mission	246	172	10	3	2	1	95	17		44	37	3		34	9	1	27	123973627	503957.8	369950	2084477.2	4700					
2016-10-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599999	Unincorporated Areas	246	172	10	3	2	1	95	17		44	37	3		34	9	1	27	123973627	503957.8	369950	2084477.2	4700					
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Burnaby	5915025	Burnaby	322	307		1		5	51	150	2	98	13	3	4	6			2	306597146	952165.1	574000	7223073.8	9000	18	11227000	623722.2	593750	1413780
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver			1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915038	Anmore	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915036	Belcarra	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915062	Bowen Island	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915034	Coquitlam	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915011	Delta	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915002	"Langley, City of"	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
2016-10-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915001	"Langley, District Municipality"	1761	1698	19	3	7	6	565	588	5	505	50	8	10	32	2	2	9	1406568715	798732.9	535000	28237711.7	8407	36	32391048	899751.3	490350	3160324.1
