trans_period,DevelopmentRegion,RegionalDistrict,Municipal_PTT_grp,CSDUID,Municipality,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,no_foreign,sum_FMV_foreign,mn_FMV_foreign,md_FMV_foreign,add_tax_paid
2016-06-01,Mainland/Southwest,FRASER VALLEY,Abbotsford,599052,Abbotsford,643,635,15,6,11,2,373,197,2,29,7,6,,1,,1,,344557368,535859,475000,5673001.1,7220,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,Chilliwack,599020,Chilliwack,496,490,9,2,10,1,272,165,,31,4,2,1,1,,2,,216351721,436193,387905,3118134.7,5000,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,,,389,371,30,4,12,1,284,28,2,10,5,4,,1,9,4,,174779795,449305.4,427000,2679076.5,6200,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,599027,Harrison Hot Springs,389,371,30,4,12,1,284,28,2,10,5,4,,1,9,4,,174779795,449305.4,427000,2679076.5,6200,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,599009,Hope,389,371,30,4,12,1,284,28,2,10,5,4,,1,9,4,,174779795,449305.4,427000,2679076.5,6200,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,599032,Kent,389,371,30,4,12,1,284,28,2,10,5,4,,1,9,4,,174779795,449305.4,427000,2679076.5,6200,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,599056,Mission,389,371,30,4,12,1,284,28,2,10,5,4,,1,9,4,,174779795,449305.4,427000,2679076.5,6200,,,,,
2016-06-01,Mainland/Southwest,FRASER VALLEY,Rest of Fraser Valley,599999,Unincorporated Areas,389,371,30,4,12,1,284,28,2,10,5,4,,1,9,4,,174779795,449305.4,427000,2679076.5,6200,,,,,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Burnaby,5915025,Burnaby,606,583,,,,2,202,366,5,8,18,14,3,1,,5,,615891070,1016321.9,589000,12011462.2,9730,81,83922969,1036086,600000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,,,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915038,Anmore,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915036,Belcarra,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915062,Bowen Island,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915034,Coquitlam,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915011,Delta,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915002,"Langley, City of",3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915001,"Langley, District Municipality",3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915065,Lions Bay,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915075,Maple Ridge,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915029,New Westminster,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915051,"North Vancouver, City of",3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915046,"North Vancouver, District Municipality",3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915070,Pitt Meadows,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915039,Port Coquitlam,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915043,Port Moody,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915055,West Vancouver,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915007,White Rock,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,5915999,Unincorporated Areas,3782,3739,80,5,11,11,1864,1415,22,331,36,12,10,14,4,3,,3418644428,903925,650944,63495780.9,10928,342,351165375,1026799.3,690000,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Richmond,5915015,Richmond,741,703,1,1,2,6,251,394,5,43,37,10,27,,,1,,1042011534,1406223.4,680000,22737338.9,11300,115,131296426,1141708.1,689900,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Surrey,5915004,Surrey,1973,1931,17,3,3,4,996,729,3,176,35,4,17,14,,4,3,1555417306,788351.4,650000,27578518.7,10740,162,144932878,894647.4,799900,
2016-06-01,Mainland/Southwest,METRO VANCOUVER,Vancouver,5915022,Vancouver,2190,2119,,7,,51,539,907,10,605,67,32,23,12,,,4,3518429006,1606588.6,757450,78120383.7,13033.01,195,360588084,1849169.7,868000,
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,,,184,176,12,3,1,,86,67,3,4,5,2,3,,2,,1,111523315,606105,454500,1996278.9,7090,,,,,
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,5931026,Lillooet,184,176,12,3,1,,86,67,3,4,5,2,3,,2,,1,111523315,606105,454500,1996278.9,7090,,,,,
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,5931012,Pemberton,184,176,12,3,1,,86,67,3,4,5,2,3,,2,,1,111523315,606105,454500,1996278.9,7090,,,,,
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,5931006,Squamish,184,176,12,3,1,,86,67,3,4,5,2,3,,2,,1,111523315,606105,454500,1996278.9,7090,,,,,
2016-06-01,Mainland/Southwest,SQUAMISH-LILLOOET,Rest of Squamish-Lillooet,5931999,Unincorporated Areas,184,176,12,3,1,,86,67,3,4,5,2,3,,2,,1,111523315,606105,454500,1996278.9,7090,,,,,
