trans_period	DevelopmentRegion	RegionalDistrict	Municipal_PTT_grp	CSDUID	Municipality	no_mkt_trans	no_resid_trans	no_resid_acreage_trans	resid_comm_count	no_resid_farm	no_resid_fam	no_res_1fam	no_resid_strata	no_resid_non_strata	no_resid_other	no_comm_tot	no_comm_comm	no_comm_strata_nores	no_comm_other	no_recr_tot	no_farm_tot	no_unkn_tot	sum_FMV	mn_FMV	md_FMV	sum_PPT_paid	md_PPT	no_foreign	sum_FMV_foreign	mn_FMV_foreign	md_FMV_foreign	add_tax_paid
2016-07-01	Mainland/Southwest	FRASER VALLEY	Abbotsford	599052	Abbotsford	552	541	9		8	3	291	190	7	33	9	6		3		2		284682040	515728.3	490000	4472171.2	7610					
2016-07-01	Mainland/Southwest	FRASER VALLEY	Chilliwack	599020	Chilliwack	490	482	8	1	11	1	286	149	1	25	6	4		2		2		211593090	431822.6	389950	3036665.8	5400					
2016-07-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley			389	362	26	1		2	285	31		17	12	9	2	1	13	2		166310899	427534.4	404000	2560924	5698					
2016-07-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599027	Harrison Hot Springs	389	362	26	1		2	285	31		17	12	9	2	1	13	2		166310899	427534.4	404000	2560924	5698					
2016-07-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599009	Hope	389	362	26	1		2	285	31		17	12	9	2	1	13	2		166310899	427534.4	404000	2560924	5698					
2016-07-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599032	Kent	389	362	26	1		2	285	31		17	12	9	2	1	13	2		166310899	427534.4	404000	2560924	5698					
2016-07-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599056	Mission	389	362	26	1		2	285	31		17	12	9	2	1	13	2		166310899	427534.4	404000	2560924	5698					
2016-07-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599999	Unincorporated Areas	389	362	26	1		2	285	31		17	12	9	2	1	13	2		166310899	427534.4	404000	2560924	5698					
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Burnaby	5915025	Burnaby	716	699		8		1	182	394		114	16	5	4	7			1	624087653	871630.8	552999.5	11265280.6	9000	208	172697208	830275	517750	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver			3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915038	Anmore	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915036	Belcarra	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915062	Bowen Island	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915034	Coquitlam	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915011	Delta	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915002	"Langley, City of"	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915001	"Langley, District Municipality"	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915065	Lions Bay	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915075	Maple Ridge	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915029	New Westminster	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
2016-07-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver	5915051	"North Vancouver, City of"	3497	3451	59	4	23	17	1798	1320	10	220	31	14	10	7	1	3	11	3408608149	974723.5	725000	64528657.8	12298	376	506267173	1346455.2	972500	
