trans_period	DevelopmentRegion	RegionalDistrict	Municipal_PTT_grp	CSDUID	Municipality	no_mkt_trans	no_resid_trans	no_resid_acreage_trans	resid_comm_count	no_resid_farm	no_resid_fam	no_res_1fam	no_resid_strata	no_resid_non_strata	no_resid_other	no_comm_tot	no_comm_comm	no_comm_strata_nores	no_comm_other	no_recr_tot	no_farm_tot	no_unkn_tot	sum_FMV	mn_FMV	md_FMV	sum_PPT_paid	md_PPT	no_foreign	sum_FMV_foreign	mn_FMV_foreign	md_FMV_foreign	add_tax_paid
2016-12-01	Mainland/Southwest	FRASER VALLEY	Abbotsford	599052	Abbotsford	286	272	1	1	6		103	143	17	1	8	4	3	1		4	2	137638546	481253.7	285000	2160593.8	3060					
2016-12-01	Mainland/Southwest	FRASER VALLEY	Chilliwack	599020	Chilliwack	231	222		3	7	1	110	79		22	5	3		2		3	1	111780184	483896.9	394900	1693771.2	4600					
2016-12-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley			130	123	13	1	2		87	14		6	3	3			2	1	1	56477267	434440.5	359468.6	816613.1	4619					
2016-12-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599027	Harrison Hot Springs	130	123	13	1	2		87	14		6	3	3			2	1	1	56477267	434440.5	359468.6	816613.1	4619					
2016-12-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599009	Hope	130	123	13	1	2		87	14		6	3	3			2	1	1	56477267	434440.5	359468.6	816613.1	4619					
2016-12-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599032	Kent	130	123	13	1	2		87	14		6	3	3			2	1	1	56477267	434440.5	359468.6	816613.1	4619					
2016-12-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599056	Mission	130	123	13	1	2		87	14		6	3	3			2	1	1	56477267	434440.5	359468.6	816613.1	4619					
2016-12-01	Mainland/Southwest	FRASER VALLEY	Rest of Fraser Valley	599999	Unincorporated Areas	130	123	13	1	2		87	14		6	3	3			2	1	1	56477267	434440.5	359468.6	816613.1	4619					
2016-12-01	Mainland/Southwest	METRO VANCOUVER	Burnaby	5915025	Burnaby	351	344	1	1		1	66	218	2	55	7	5	2					260415278	741923.9	479900	6318086.4	7598	27	19043400	705311.1	510000	1752495
2016-12-01	Mainland/Southwest	METRO VANCOUVER	Rest of Metro Vancouver			1442	1401	28	5	7	6	513	721	10	111	37	12	18	7	1		3	1152739423	799403.2	532800	21848770.6	7864	26	51601062	1984656.2	564275	1962531
